,depot,INST0068_N8_S08_P000,INST0068_N8_S08_D000,INST0068_N8_S08_P001,INST0068_N8_S08_D001,INST0068_N8_S08_P002,INST0068_N8_S08_D002,INST0068_N8_S08_P003,INST0068_N8_S08_D003,INST0068_N8_S08_P004,INST0068_N8_S08_D004,INST0068_N8_S08_P005,INST0068_N8_S08_D005,INST0068_N8_S08_P006,INST0068_N8_S08_D006,INST0068_N8_S08_P007,INST0068_N8_S08_D007
depot,0.0,71.658,6.707,77.018,158.604,61.135,29.68,32.455,8.581,6.707,117.194,61.135,0.0,77.018,0.0,61.135,158.604
INST0068_N8_S08_P000,71.658,0.0,67.566,138.993,224.124,126.125,72.268,46.181,80.145,67.566,183.928,126.125,71.658,138.993,71.658,126.125,224.124
INST0068_N8_S08_D000,6.707,67.566,0.0,83.656,160.028,61.869,24.036,26.3,13.324,0.0,118.85,61.869,6.707,83.656,6.707,61.869,160.028
INST0068_N8_S08_P001,77.018,138.993,83.656,0.0,151.155,87.998,102.142,108.949,71.877,83.656,114.428,87.998,77.018,0.0,77.018,87.998,151.155
INST0068_N8_S08_D001,158.604,224.124,160.028,151.155,0.0,98.41,152.108,177.944,150.553,160.028,41.594,98.41,158.604,151.155,158.604,98.41,0.0
INST0068_N8_S08_P002,61.135,126.125,61.869,87.998,98.41,0.0,55.105,80.067,53.679,61.869,57.803,0.0,61.135,87.998,61.135,0.0,98.41
INST0068_N8_S08_D002,29.68,72.268,24.036,102.142,152.108,55.105,0.0,26.348,31.149,24.036,112.533,55.105,29.68,102.142,29.68,55.105,152.108
INST0068_N8_S08_P003,32.455,46.181,26.3,108.949,177.944,80.067,26.348,0.0,39.549,26.3,137.848,80.067,32.455,108.949,32.455,80.067,177.944
INST0068_N8_S08_D003,8.581,80.145,13.324,71.877,150.553,53.679,31.149,39.549,0.0,13.324,109.068,53.679,8.581,71.877,8.581,53.679,150.553
INST0068_N8_S08_P004,6.707,67.566,0.0,83.656,160.028,61.869,24.036,26.3,13.324,0.0,118.85,61.869,6.707,83.656,6.707,61.869,160.028
INST0068_N8_S08_D004,117.194,183.928,118.85,114.428,41.594,57.803,112.533,137.848,109.068,118.85,0.0,57.803,117.194,114.428,117.194,57.803,41.594
INST0068_N8_S08_P005,61.135,126.125,61.869,87.998,98.41,0.0,55.105,80.067,53.679,61.869,57.803,0.0,61.135,87.998,61.135,0.0,98.41
INST0068_N8_S08_D005,0.0,71.658,6.707,77.018,158.604,61.135,29.68,32.455,8.581,6.707,117.194,61.135,0.0,77.018,0.0,61.135,158.604
INST0068_N8_S08_P006,77.018,138.993,83.656,0.0,151.155,87.998,102.142,108.949,71.877,83.656,114.428,87.998,77.018,0.0,77.018,87.998,151.155
INST0068_N8_S08_D006,0.0,71.658,6.707,77.018,158.604,61.135,29.68,32.455,8.581,6.707,117.194,61.135,0.0,77.018,0.0,61.135,158.604
INST0068_N8_S08_P007,61.135,126.125,61.869,87.998,98.41,0.0,55.105,80.067,53.679,61.869,57.803,0.0,61.135,87.998,61.135,0.0,98.41
INST0068_N8_S08_D007,158.604,224.124,160.028,151.155,0.0,98.41,152.108,177.944,150.553,160.028,41.594,98.41,158.604,151.155,158.604,98.41,0.0
