,depot,INST0089_N8_S29_P000,INST0089_N8_S29_D000,INST0089_N8_S29_P001,INST0089_N8_S29_D001,INST0089_N8_S29_P002,INST0089_N8_S29_D002,INST0089_N8_S29_P003,INST0089_N8_S29_D003,INST0089_N8_S29_P004,INST0089_N8_S29_D004,INST0089_N8_S29_P005,INST0089_N8_S29_D005,INST0089_N8_S29_P006,INST0089_N8_S29_D006,INST0089_N8_S29_P007,INST0089_N8_S29_D007
depot,0.0,53.679,8.581,71.877,53.679,31.149,109.068,53.679,54.293,39.549,54.293,66.815,8.581,13.324,66.815,31.149,8.581
INST0089_N8_S29_P000,53.679,0.0,61.135,87.998,0.0,55.105,57.803,0.0,72.248,80.067,72.248,13.307,61.135,61.869,13.307,55.105,61.135
INST0089_N8_S29_D000,8.581,61.135,0.0,77.018,61.135,29.68,117.194,61.135,51.136,32.455,51.136,74.382,0.0,6.707,74.382,29.68,0.0
INST0089_N8_S29_P001,71.877,87.998,77.018,0.0,87.998,102.142,114.428,87.998,125.848,108.949,125.848,94.398,77.018,83.656,94.398,102.142,77.018
INST0089_N8_S29_D001,53.679,0.0,61.135,87.998,0.0,55.105,57.803,0.0,72.248,80.067,72.248,13.307,61.135,61.869,13.307,55.105,61.135
INST0089_N8_S29_P002,31.149,55.105,29.68,102.142,55.105,0.0,112.533,55.105,23.863,26.348,23.863,67.557,29.68,24.036,67.557,0.0,29.68
INST0089_N8_S29_D002,109.068,57.803,117.194,114.428,57.803,112.533,0.0,57.803,127.137,137.848,127.137,44.98,117.194,118.85,44.98,112.533,117.194
INST0089_N8_S29_P003,53.679,0.0,61.135,87.998,0.0,55.105,57.803,0.0,72.248,80.067,72.248,13.307,61.135,61.869,13.307,55.105,61.135
INST0089_N8_S29_D003,54.293,72.248,51.136,125.848,72.248,23.863,127.137,72.248,0.0,30.556,0.0,83.129,51.136,44.645,83.129,23.863,51.136
INST0089_N8_S29_P004,39.549,80.067,32.455,108.949,80.067,26.348,137.848,80.067,30.556,0.0,30.556,92.948,32.455,26.3,92.948,26.348,32.455
INST0089_N8_S29_D004,54.293,72.248,51.136,125.848,72.248,23.863,127.137,72.248,0.0,30.556,0.0,83.129,51.136,44.645,83.129,23.863,51.136
INST0089_N8_S29_P005,66.815,13.307,74.382,94.398,13.307,67.557,44.98,13.307,83.129,92.948,83.129,0.0,74.382,75.176,0.0,67.557,74.382
INST0089_N8_S29_D005,8.581,61.135,0.0,77.018,61.135,29.68,117.194,61.135,51.136,32.455,51.136,74.382,0.0,6.707,74.382,29.68,0.0
INST0089_N8_S29_P006,13.324,61.869,6.707,83.656,61.869,24.036,118.85,61.869,44.645,26.3,44.645,75.176,6.707,0.0,75.176,24.036,6.707
INST0089_N8_S29_D006,66.815,13.307,74.382,94.398,13.307,67.557,44.98,13.307,83.129,92.948,83.129,0.0,74.382,75.176,0.0,67.557,74.382
INST0089_N8_S29_P007,31.149,55.105,29.68,102.142,55.105,0.0,112.533,55.105,23.863,26.348,23.863,67.557,29.68,24.036,67.557,0.0,29.68
INST0089_N8_S29_D007,8.581,61.135,0.0,77.018,61.135,29.68,117.194,61.135,51.136,32.455,51.136,74.382,0.0,6.707,74.382,29.68,0.0
