,depot,INST0171_N15_N21_P000,INST0171_N15_N21_D000,INST0171_N15_N21_P001,INST0171_N15_N21_D001,INST0171_N15_N21_P002,INST0171_N15_N21_D002,INST0171_N15_N21_P003,INST0171_N15_N21_D003,INST0171_N15_N21_P004,INST0171_N15_N21_D004,INST0171_N15_N21_P005,INST0171_N15_N21_D005,INST0171_N15_N21_P006,INST0171_N15_N21_D006,INST0171_N15_N21_P007,INST0171_N15_N21_D007,INST0171_N15_N21_P008,INST0171_N15_N21_D008,INST0171_N15_N21_P009,INST0171_N15_N21_D009,INST0171_N15_N21_P010,INST0171_N15_N21_D010,INST0171_N15_N21_P011,INST0171_N15_N21_D011,INST0171_N15_N21_P012,INST0171_N15_N21_D012,INST0171_N15_N21_P013,INST0171_N15_N21_D013,INST0171_N15_N21_P014,INST0171_N15_N21_D014
depot,0.0,35.534,81.17,20.683,100.436,23.461,0.0,20.683,28.616,23.461,100.436,20.683,0.0,23.353,132.815,64.86,0.0,23.461,35.534,17.254,23.461,64.86,35.534,19.671,35.534,23.461,17.254,28.616,19.671,17.254,64.86
INST0171_N15_N21_P000,35.534,0.0,47.339,40.266,93.214,27.709,35.534,40.266,35.653,27.709,93.214,40.266,35.534,30.471,122.278,82.833,35.534,27.709,0.0,18.283,27.709,82.833,0.0,18.791,0.0,27.709,18.283,35.653,18.791,18.283,82.833
INST0171_N15_N21_D000,81.17,47.339,0.0,77.99,85.106,64.236,81.17,77.99,81.232,64.236,85.106,77.99,81.17,66.572,104.379,107.477,81.17,64.236,47.339,64.45,64.236,107.477,47.339,61.784,47.339,64.236,64.45,81.232,61.784,64.45,107.477
INST0171_N15_N21_P001,20.683,40.266,77.99,0.0,81.189,13.942,20.683,0.0,48.052,13.942,81.189,0.0,20.683,11.436,113.909,46.019,20.683,13.942,40.266,26.126,13.942,46.019,40.266,21.8,40.266,13.942,26.126,48.052,21.8,26.126,46.019
INST0171_N15_N21_D001,100.436,93.214,85.106,81.189,0.0,78.292,100.436,81.189,122.247,78.292,0.0,81.189,100.436,77.555,32.884,65.084,100.436,78.292,93.214,95.136,78.292,65.084,93.214,87.958,93.214,78.292,95.136,122.247,87.958,95.136,65.084
INST0171_N15_N21_P002,23.461,27.709,64.236,13.942,78.292,0.0,23.461,13.942,44.646,0.0,78.292,13.942,23.461,2.788,110.207,55.435,23.461,0.0,27.709,18.229,0.0,55.435,27.709,11.477,27.709,0.0,18.229,44.646,11.477,18.229,55.435
INST0171_N15_N21_D002,0.0,35.534,81.17,20.683,100.436,23.461,0.0,20.683,28.616,23.461,100.436,20.683,0.0,23.353,132.815,64.86,0.0,23.461,35.534,17.254,23.461,64.86,35.534,19.671,35.534,23.461,17.254,28.616,19.671,17.254,64.86
INST0171_N15_N21_P003,20.683,40.266,77.99,0.0,81.189,13.942,20.683,0.0,48.052,13.942,81.189,0.0,20.683,11.436,113.909,46.019,20.683,13.942,40.266,26.126,13.942,46.019,40.266,21.8,40.266,13.942,26.126,48.052,21.8,26.126,46.019
INST0171_N15_N21_D003,28.616,35.653,81.232,48.052,122.247,44.646,28.616,48.052,0.0,44.646,122.247,48.052,28.616,46.06,153.371,93.371,28.616,44.646,35.653,27.111,44.646,93.371,35.653,34.294,35.653,44.646,27.111,0.0,34.294,27.111,93.371
INST0171_N15_N21_P004,23.461,27.709,64.236,13.942,78.292,0.0,23.461,13.942,44.646,0.0,78.292,13.942,23.461,2.788,110.207,55.435,23.461,0.0,27.709,18.229,0.0,55.435,27.709,11.477,27.709,0.0,18.229,44.646,11.477,18.229,55.435
INST0171_N15_N21_D004,100.436,93.214,85.106,81.189,0.0,78.292,100.436,81.189,122.247,78.292,0.0,81.189,100.436,77.555,32.884,65.084,100.436,78.292,93.214,95.136,78.292,65.084,93.214,87.958,93.214,78.292,95.136,122.247,87.958,95.136,65.084
INST0171_N15_N21_P005,20.683,40.266,77.99,0.0,81.189,13.942,20.683,0.0,48.052,13.942,81.189,0.0,20.683,11.436,113.909,46.019,20.683,13.942,40.266,26.126,13.942,46.019,40.266,21.8,40.266,13.942,26.126,48.052,21.8,26.126,46.019
INST0171_N15_N21_D005,0.0,35.534,81.17,20.683,100.436,23.461,0.0,20.683,28.616,23.461,100.436,20.683,0.0,23.353,132.815,64.86,0.0,23.461,35.534,17.254,23.461,64.86,35.534,19.671,35.534,23.461,17.254,28.616,19.671,17.254,64.86
INST0171_N15_N21_P006,23.353,30.471,66.572,11.436,77.555,2.788,23.353,11.436,46.06,2.788,77.555,11.436,23.353,0.0,109.689,52.8,23.353,2.788,30.471,20.176,2.788,52.8,30.471,13.759,30.471,2.788,20.176,46.06,13.759,20.176,52.8
INST0171_N15_N21_D006,132.815,122.278,104.379,113.909,32.884,110.207,132.815,113.909,153.371,110.207,32.884,113.909,132.815,109.689,0.0,95.428,132.815,110.207,122.278,126.352,110.207,95.428,122.278,119.262,122.278,110.207,126.352,153.371,119.262,126.352,95.428
INST0171_N15_N21_P007,64.86,82.833,107.477,46.019,65.084,55.435,64.86,46.019,93.371,55.435,65.084,46.019,64.86,52.8,95.428,0.0,64.86,55.435,82.833,71.779,55.435,0.0,82.833,66.32,82.833,55.435,71.779,93.371,66.32,71.779,0.0
INST0171_N15_N21_D007,0.0,35.534,81.17,20.683,100.436,23.461,0.0,20.683,28.616,23.461,100.436,20.683,0.0,23.353,132.815,64.86,0.0,23.461,35.534,17.254,23.461,64.86,35.534,19.671,35.534,23.461,17.254,28.616,19.671,17.254,64.86
INST0171_N15_N21_P008,23.461,27.709,64.236,13.942,78.292,0.0,23.461,13.942,44.646,0.0,78.292,13.942,23.461,2.788,110.207,55.435,23.461,0.0,27.709,18.229,0.0,55.435,27.709,11.477,27.709,0.0,18.229,44.646,11.477,18.229,55.435
INST0171_N15_N21_D008,35.534,0.0,47.339,40.266,93.214,27.709,35.534,40.266,35.653,27.709,93.214,40.266,35.534,30.471,122.278,82.833,35.534,27.709,0.0,18.283,27.709,82.833,0.0,18.791,0.0,27.709,18.283,35.653,18.791,18.283,82.833
INST0171_N15_N21_P009,17.254,18.283,64.45,26.126,95.136,18.229,17.254,26.126,27.111,18.229,95.136,26.126,17.254,20.176,126.352,71.779,17.254,18.229,18.283,0.0,18.229,71.779,18.283,7.201,18.283,18.229,0.0,27.111,7.201,0.0,71.779
INST0171_N15_N21_D009,23.461,27.709,64.236,13.942,78.292,0.0,23.461,13.942,44.646,0.0,78.292,13.942,23.461,2.788,110.207,55.435,23.461,0.0,27.709,18.229,0.0,55.435,27.709,11.477,27.709,0.0,18.229,44.646,11.477,18.229,55.435
INST0171_N15_N21_P010,64.86,82.833,107.477,46.019,65.084,55.435,64.86,46.019,93.371,55.435,65.084,46.019,64.86,52.8,95.428,0.0,64.86,55.435,82.833,71.779,55.435,0.0,82.833,66.32,82.833,55.435,71.779,93.371,66.32,71.779,0.0
INST0171_N15_N21_D010,35.534,0.0,47.339,40.266,93.214,27.709,35.534,40.266,35.653,27.709,93.214,40.266,35.534,30.471,122.278,82.833,35.534,27.709,0.0,18.283,27.709,82.833,0.0,18.791,0.0,27.709,18.283,35.653,18.791,18.283,82.833
INST0171_N15_N21_P011,19.671,18.791,61.784,21.8,87.958,11.477,19.671,21.8,34.294,11.477,87.958,21.8,19.671,13.759,119.262,66.32,19.671,11.477,18.791,7.201,11.477,66.32,18.791,0.0,18.791,11.477,7.201,34.294,0.0,7.201,66.32
INST0171_N15_N21_D011,35.534,0.0,47.339,40.266,93.214,27.709,35.534,40.266,35.653,27.709,93.214,40.266,35.534,30.471,122.278,82.833,35.534,27.709,0.0,18.283,27.709,82.833,0.0,18.791,0.0,27.709,18.283,35.653,18.791,18.283,82.833
INST0171_N15_N21_P012,23.461,27.709,64.236,13.942,78.292,0.0,23.461,13.942,44.646,0.0,78.292,13.942,23.461,2.788,110.207,55.435,23.461,0.0,27.709,18.229,0.0,55.435,27.709,11.477,27.709,0.0,18.229,44.646,11.477,18.229,55.435
INST0171_N15_N21_D012,17.254,18.283,64.45,26.126,95.136,18.229,17.254,26.126,27.111,18.229,95.136,26.126,17.254,20.176,126.352,71.779,17.254,18.229,18.283,0.0,18.229,71.779,18.283,7.201,18.283,18.229,0.0,27.111,7.201,0.0,71.779
INST0171_N15_N21_P013,28.616,35.653,81.232,48.052,122.247,44.646,28.616,48.052,0.0,44.646,122.247,48.052,28.616,46.06,153.371,93.371,28.616,44.646,35.653,27.111,44.646,93.371,35.653,34.294,35.653,44.646,27.111,0.0,34.294,27.111,93.371
INST0171_N15_N21_D013,19.671,18.791,61.784,21.8,87.958,11.477,19.671,21.8,34.294,11.477,87.958,21.8,19.671,13.759,119.262,66.32,19.671,11.477,18.791,7.201,11.477,66.32,18.791,0.0,18.791,11.477,7.201,34.294,0.0,7.201,66.32
INST0171_N15_N21_P014,17.254,18.283,64.45,26.126,95.136,18.229,17.254,26.126,27.111,18.229,95.136,26.126,17.254,20.176,126.352,71.779,17.254,18.229,18.283,0.0,18.229,71.779,18.283,7.201,18.283,18.229,0.0,27.111,7.201,0.0,71.779
INST0171_N15_N21_D014,64.86,82.833,107.477,46.019,65.084,55.435,64.86,46.019,93.371,55.435,65.084,46.019,64.86,52.8,95.428,0.0,64.86,55.435,82.833,71.779,55.435,0.0,82.833,66.32,82.833,55.435,71.779,93.371,66.32,71.779,0.0
