,depot,INST0192_N18_N12_P000,INST0192_N18_N12_D000,INST0192_N18_N12_P001,INST0192_N18_N12_D001,INST0192_N18_N12_P002,INST0192_N18_N12_D002,INST0192_N18_N12_P003,INST0192_N18_N12_D003,INST0192_N18_N12_P004,INST0192_N18_N12_D004,INST0192_N18_N12_P005,INST0192_N18_N12_D005,INST0192_N18_N12_P006,INST0192_N18_N12_D006,INST0192_N18_N12_P007,INST0192_N18_N12_D007,INST0192_N18_N12_P008,INST0192_N18_N12_D008,INST0192_N18_N12_P009,INST0192_N18_N12_D009,INST0192_N18_N12_P010,INST0192_N18_N12_D010,INST0192_N18_N12_P011,INST0192_N18_N12_D011,INST0192_N18_N12_P012,INST0192_N18_N12_D012,INST0192_N18_N12_P013,INST0192_N18_N12_D013,INST0192_N18_N12_P014,INST0192_N18_N12_D014,INST0192_N18_N12_P015,INST0192_N18_N12_D015,INST0192_N18_N12_P016,INST0192_N18_N12_D016,INST0192_N18_N12_P017,INST0192_N18_N12_D017
depot,0.0,27.709,40.266,0.0,47.339,40.266,18.283,27.709,18.791,30.471,0.0,30.471,18.791,27.709,35.653,0.0,47.339,35.534,131.141,35.534,93.214,18.791,122.278,47.339,30.471,0.0,27.709,40.266,18.791,18.791,47.339,18.791,93.214,35.534,18.791,18.283,93.214
INST0192_N18_N12_P000,27.709,0.0,13.942,27.709,64.236,13.942,18.229,0.0,11.477,2.788,27.709,2.788,11.477,0.0,44.646,27.709,64.236,23.461,144.673,23.461,78.292,11.477,110.207,64.236,2.788,27.709,0.0,13.942,11.477,11.477,64.236,11.477,78.292,23.461,11.477,18.229,78.292
INST0192_N18_N12_D000,40.266,13.942,0.0,40.266,77.99,0.0,26.126,13.942,21.8,11.436,40.266,11.436,21.8,13.942,48.052,40.266,77.99,20.683,145.998,20.683,81.189,21.8,113.909,77.99,11.436,40.266,13.942,0.0,21.8,21.8,77.99,21.8,81.189,20.683,21.8,26.126,81.189
INST0192_N18_N12_P001,0.0,27.709,40.266,0.0,47.339,40.266,18.283,27.709,18.791,30.471,0.0,30.471,18.791,27.709,35.653,0.0,47.339,35.534,131.141,35.534,93.214,18.791,122.278,47.339,30.471,0.0,27.709,40.266,18.791,18.791,47.339,18.791,93.214,35.534,18.791,18.283,93.214
INST0192_N18_N12_D001,47.339,64.236,77.99,47.339,0.0,77.99,64.45,64.236,61.784,66.572,47.339,66.572,61.784,64.236,81.232,47.339,0.0,81.17,165.945,81.17,85.106,61.784,104.379,0.0,66.572,47.339,64.236,77.99,61.784,61.784,0.0,61.784,85.106,81.17,61.784,64.45,85.106
INST0192_N18_N12_P002,40.266,13.942,0.0,40.266,77.99,0.0,26.126,13.942,21.8,11.436,40.266,11.436,21.8,13.942,48.052,40.266,77.99,20.683,145.998,20.683,81.189,21.8,113.909,77.99,11.436,40.266,13.942,0.0,21.8,21.8,77.99,21.8,81.189,20.683,21.8,26.126,81.189
INST0192_N18_N12_D002,18.283,18.229,26.126,18.283,64.45,26.126,0.0,18.229,7.201,20.176,18.283,20.176,7.201,18.229,27.111,18.283,64.45,17.254,127.166,17.254,95.136,7.201,126.352,64.45,20.176,18.283,18.229,26.126,7.201,7.201,64.45,7.201,95.136,17.254,7.201,0.0,95.136
INST0192_N18_N12_P003,27.709,0.0,13.942,27.709,64.236,13.942,18.229,0.0,11.477,2.788,27.709,2.788,11.477,0.0,44.646,27.709,64.236,23.461,144.673,23.461,78.292,11.477,110.207,64.236,2.788,27.709,0.0,13.942,11.477,11.477,64.236,11.477,78.292,23.461,11.477,18.229,78.292
INST0192_N18_N12_D003,18.791,11.477,21.8,18.791,61.784,21.8,7.201,11.477,0.0,13.759,18.791,13.759,0.0,11.477,34.294,18.791,61.784,19.671,134.365,19.671,87.958,0.0,119.262,61.784,13.759,18.791,11.477,21.8,0.0,0.0,61.784,0.0,87.958,19.671,0.0,7.201,87.958
INST0192_N18_N12_P004,30.471,2.788,11.436,30.471,66.572,11.436,20.176,2.788,13.759,0.0,30.471,0.0,13.759,2.788,46.06,30.471,66.572,23.353,145.919,23.353,77.555,13.759,109.689,66.572,0.0,30.471,2.788,11.436,13.759,13.759,66.572,13.759,77.555,23.353,13.759,20.176,77.555
