,depot,INST0137_N12_S17_P000,INST0137_N12_S17_D000,INST0137_N12_S17_P001,INST0137_N12_S17_D001,INST0137_N12_S17_P002,INST0137_N12_S17_D002,INST0137_N12_S17_P003,INST0137_N12_S17_D003,INST0137_N12_S17_P004,INST0137_N12_S17_D004,INST0137_N12_S17_P005,INST0137_N12_S17_D005,INST0137_N12_S17_P006,INST0137_N12_S17_D006,INST0137_N12_S17_P007,INST0137_N12_S17_D007,INST0137_N12_S17_P008,INST0137_N12_S17_D008,INST0137_N12_S17_P009,INST0137_N12_S17_D009,INST0137_N12_S17_P010,INST0137_N12_S17_D010,INST0137_N12_S17_P011,INST0137_N12_S17_D011
depot,0.0,19.629,0.0,45.002,25.439,45.002,19.488,0.0,45.002,0.0,59.019,24.239,21.517,55.171,91.902,19.488,21.517,0.0,45.002,59.019,45.002,55.171,83.416,19.488,59.019
INST0137_N12_S17_P000,19.629,0.0,19.629,50.526,10.881,50.526,36.46,19.629,50.526,19.629,55.179,5.477,21.478,61.394,97.061,36.46,21.478,19.629,50.526,55.179,50.526,61.394,68.319,36.46,55.179
INST0137_N12_S17_D000,0.0,19.629,0.0,45.002,25.439,45.002,19.488,0.0,45.002,0.0,59.019,24.239,21.517,55.171,91.902,19.488,21.517,0.0,45.002,59.019,45.002,55.171,83.416,19.488,59.019
INST0137_N12_S17_P001,45.002,50.526,45.002,0.0,43.838,0.0,59.003,45.002,0.0,45.002,103.002,49.927,65.388,10.867,47.206,59.003,65.388,45.002,0.0,103.002,0.0,10.867,71.865,59.003,103.002
INST0137_N12_S17_D001,25.439,10.881,25.439,43.838,0.0,43.838,44.339,25.439,43.838,25.439,65.452,7.008,32.298,54.565,89.072,44.339,32.298,25.439,43.838,65.452,43.838,54.565,58.699,44.339,65.452
INST0137_N12_S17_P002,45.002,50.526,45.002,0.0,43.838,0.0,59.003,45.002,0.0,45.002,103.002,49.927,65.388,10.867,47.206,59.003,65.388,45.002,0.0,103.002,0.0,10.867,71.865,59.003,103.002
INST0137_N12_S17_D002,19.488,36.46,19.488,59.003,44.339,59.003,0.0,19.488,59.003,19.488,54.903,41.761,24.954,67.889,103.829,0.0,24.954,19.488,59.003,54.903,59.003,67.889,102.776,0.0,54.903
INST0137_N12_S17_P003,0.0,19.629,0.0,45.002,25.439,45.002,19.488,0.0,45.002,0.0,59.019,24.239,21.517,55.171,91.902,19.488,21.517,0.0,45.002,59.019,45.002,55.171,83.416,19.488,59.019
INST0137_N12_S17_D003,45.002,50.526,45.002,0.0,43.838,0.0,59.003,45.002,0.0,45.002,103.002,49.927,65.388,10.867,47.206,59.003,65.388,45.002,0.0,103.002,0.0,10.867,71.865,59.003,103.002
INST0137_N12_S17_P004,0.0,19.629,0.0,45.002,25.439,45.002,19.488,0.0,45.002,0.0,59.019,24.239,21.517,55.171,91.902,19.488,21.517,0.0,45.002,59.019,45.002,55.171,83.416,19.488,59.019
INST0137_N12_S17_D004,59.019,55.179,59.019,103.002,65.452,103.002,54.903,59.019,103.002,59.019,0.0,58.521,37.715,113.587,150.208,54.903,37.715,59.019,103.002,0.0,103.002,113.587,113.511,54.903,0.0
INST0137_N12_S17_P005,24.239,5.477,24.239,49.927,7.008,49.927,41.761,24.239,49.927,24.239,58.521,0.0,26.505,60.745,95.708,41.761,26.505,24.239,49.927,58.521,49.927,60.745,62.898,41.761,58.521
INST0137_N12_S17_D005,21.517,21.478,21.517,65.388,32.298,65.388,24.954,21.517,65.388,21.517,37.715,26.505,0.0,75.908,112.576,24.954,0.0,21.517,65.388,37.715,65.388,75.908,88.975,24.954,37.715
INST0137_N12_S17_P006,55.171,61.394,55.171,10.867,54.565,10.867,67.889,55.171,10.867,55.171,113.587,60.745,75.908,0.0,36.733,67.889,75.908,55.171,10.867,113.587,10.867,0.0,77.092,67.889,113.587
INST0137_N12_S17_D006,91.902,97.061,91.902,47.206,89.072,47.206,103.829,91.902,47.206,91.902,150.208,95.708,112.576,36.733,0.0,103.829,112.576,91.902,47.206,150.208,47.206,36.733,93.449,103.829,150.208
INST0137_N12_S17_P007,19.488,36.46,19.488,59.003,44.339,59.003,0.0,19.488,59.003,19.488,54.903,41.761,24.954,67.889,103.829,0.0,24.954,19.488,59.003,54.903,59.003,67.889,102.776,0.0,54.903
INST0137_N12_S17_D007,21.517,21.478,21.517,65.388,32.298,65.388,24.954,21.517,65.388,21.517,37.715,26.505,0.0,75.908,112.576,24.954,0.0,21.517,65.388,37.715,65.388,75.908,88.975,24.954,37.715
INST0137_N12_S17_P008,0.0,19.629,0.0,45.002,25.439,45.002,19.488,0.0,45.002,0.0,59.019,24.239,21.517,55.171,91.902,19.488,21.517,0.0,45.002,59.019,45.002,55.171,83.416,19.488,59.019
INST0137_N12_S17_D008,45.002,50.526,45.002,0.0,43.838,0.0,59.003,45.002,0.0,45.002,103.002,49.927,65.388,10.867,47.206,59.003,65.388,45.002,0.0,103.002,0.0,10.867,71.865,59.003,103.002
INST0137_N12_S17_P009,59.019,55.179,59.019,103.002,65.452,103.002,54.903,59.019,103.002,59.019,0.0,58.521,37.715,113.587,150.208,54.903,37.715,59.019,103.002,0.0,103.002,113.587,113.511,54.903,0.0
INST0137_N12_S17_D009,45.002,50.526,45.002,0.0,43.838,0.0,59.003,45.002,0.0,45.002,103.002,49.927,65.388,10.867,47.206,59.003,65.388,45.002,0.0,103.002,0.0,10.867,71.865,59.003,103.002
INST0137_N12_S17_P010,55.171,61.394,55.171,10.867,54.565,10.867,67.889,55.171,10.867,55.171,113.587,60.745,75.908,0.0,36.733,67.889,75.908,55.171,10.867,113.587,10.867,0.0,77.092,67.889,113.587
INST0137_N12_S17_D010,83.416,68.319,83.416,71.865,58.699,71.865,102.776,83.416,71.865,83.416,113.511,62.898,88.975,77.092,93.449,102.776,88.975,83.416,71.865,113.511,71.865,77.092,0.0,102.776,113.511
INST0137_N12_S17_P011,19.488,36.46,19.488,59.003,44.339,59.003,0.0,19.488,59.003,19.488,54.903,41.761,24.954,67.889,103.829,0.0,24.954,19.488,59.003,54.903,59.003,67.889,102.776,0.0,54.903
INST0137_N12_S17_D011,59.019,55.179,59.019,103.002,65.452,103.002,54.903,59.019,103.002,59.019,0.0,58.521,37.715,113.587,150.208,54.903,37.715,59.019,103.002,0.0,103.002,113.587,113.511,54.903,0.0
