,depot,INST0166_N15_W16_P000,INST0166_N15_W16_D000,INST0166_N15_W16_P001,INST0166_N15_W16_D001,INST0166_N15_W16_P002,INST0166_N15_W16_D002,INST0166_N15_W16_P003,INST0166_N15_W16_D003,INST0166_N15_W16_P004,INST0166_N15_W16_D004,INST0166_N15_W16_P005,INST0166_N15_W16_D005,INST0166_N15_W16_P006,INST0166_N15_W16_D006,INST0166_N15_W16_P007,INST0166_N15_W16_D007,INST0166_N15_W16_P008,INST0166_N15_W16_D008,INST0166_N15_W16_P009,INST0166_N15_W16_D009,INST0166_N15_W16_P010,INST0166_N15_W16_D010,INST0166_N15_W16_P011,INST0166_N15_W16_D011,INST0166_N15_W16_P012,INST0166_N15_W16_D012,INST0166_N15_W16_P013,INST0166_N15_W16_D013,INST0166_N15_W16_P014,INST0166_N15_W16_D014
depot,0.0,55.217,18.744,26.872,41.349,14.077,96.036,30.344,41.092,55.217,96.036,30.344,20.581,41.349,30.344,35.155,26.872,41.092,147.26,35.155,18.744,30.344,0.0,20.581,55.217,18.744,30.344,18.744,109.245,41.349,20.581
INST0166_N15_W16_P000,55.217,0.0,69.129,63.444,20.342,50.28,40.846,77.525,70.903,0.0,40.846,77.525,40.063,20.342,77.525,57.646,63.444,70.903,143.94,57.646,69.129,77.525,55.217,40.063,0.0,69.129,77.525,69.129,54.132,20.342,40.063
INST0166_N15_W16_D000,18.744,69.129,0.0,16.35,51.842,19.054,109.164,11.735,28.769,69.129,109.164,11.735,29.48,51.842,11.735,52.507,16.35,28.769,137.675,52.507,0.0,11.735,18.744,29.48,69.129,0.0,11.735,0.0,123.055,51.842,29.48
INST0166_N15_W16_P001,26.872,63.444,16.35,0.0,43.952,16.791,101.402,16.399,14.239,63.444,101.402,16.399,24.4,43.952,16.399,61.821,0.0,14.239,122.204,61.821,16.35,16.399,26.872,24.4,63.444,16.35,16.399,16.35,115.807,43.952,24.4
INST0166_N15_W16_D001,41.349,20.342,51.842,43.952,0.0,32.833,57.687,58.923,50.611,20.342,57.687,58.923,22.455,0.0,58.923,55.918,43.952,50.611,130.013,55.918,51.842,58.923,41.349,22.455,20.342,51.842,58.923,51.842,71.944,0.0,22.455
INST0166_N15_W16_P002,14.077,50.28,19.054,16.791,32.833,0.0,90.122,27.544,29.954,50.28,90.122,27.544,10.426,32.833,27.544,46.592,16.791,29.954,133.597,46.592,19.054,27.544,14.077,10.426,50.28,19.054,27.544,19.054,104.062,32.833,10.426
INST0166_N15_W16_D002,96.036,40.846,109.164,101.402,57.687,90.122,0.0,116.61,106.091,40.846,0.0,116.61,79.708,57.687,116.61,94.442,101.402,106.091,152.865,94.442,109.164,116.61,96.036,79.708,40.846,109.164,116.61,109.164,14.722,57.687,79.708
INST0166_N15_W16_P003,30.344,77.525,11.735,16.399,58.923,27.544,116.61,0.0,23.199,77.525,116.61,0.0,37.477,58.923,0.0,64.172,16.399,23.199,130.691,64.172,11.735,0.0,30.344,37.477,77.525,11.735,0.0,11.735,130.825,58.923,37.477
INST0166_N15_W16_D003,41.092,70.903,28.769,14.239,50.611,29.954,106.091,23.199,0.0,70.903,106.091,23.199,35.196,50.611,23.199,75.918,14.239,0.0,108.909,75.918,28.769,23.199,41.092,35.196,70.903,28.769,23.199,28.769,120.757,50.611,35.196
INST0166_N15_W16_P004,55.217,0.0,69.129,63.444,20.342,50.28,40.846,77.525,70.903,0.0,40.846,77.525,40.063,20.342,77.525,57.646,63.444,70.903,143.94,57.646,69.129,77.525,55.217,40.063,0.0,69.129,77.525,69.129,54.132,20.342,40.063
