,depot,INST0033_N5_N03_P000,INST0033_N5_N03_D000,INST0033_N5_N03_P001,INST0033_N5_N03_D001,INST0033_N5_N03_P002,INST0033_N5_N03_D002,INST0033_N5_N03_P003,INST0033_N5_N03_D003,INST0033_N5_N03_P004,INST0033_N5_N03_D004
depot,0.0,56.4,94.965,28.595,94.965,94.965,64.653,37.312,81.517,3.413,24.705
INST0033_N5_N03_P000,56.4,0.0,149.69,35.041,149.69,149.69,114.332,43.657,99.467,54.669,33.197
INST0033_N5_N03_D000,94.965,149.69,0.0,122.983,0.0,0.0,79.694,114.14,104.211,95.867,116.493
INST0033_N5_N03_P001,28.595,35.041,122.983,0.0,122.983,122.983,79.42,43.511,99.392,28.727,21.127
INST0033_N5_N03_D001,94.965,149.69,0.0,122.983,0.0,0.0,79.694,114.14,104.211,95.867,116.493
INST0033_N5_N03_P002,94.965,149.69,0.0,122.983,0.0,0.0,79.694,114.14,104.211,95.867,116.493
INST0033_N5_N03_D002,64.653,114.332,79.694,79.42,79.694,79.694,0.0,101.428,131.605,67.88,87.893
INST0033_N5_N03_P003,37.312,43.657,114.14,43.511,114.14,114.14,101.428,0.0,57.966,33.929,22.387
INST0033_N5_N03_D003,81.517,99.467,104.211,99.392,104.211,104.211,131.605,57.966,0.0,78.656,78.919
INST0033_N5_N03_P004,3.413,54.669,95.867,28.727,95.867,95.867,67.88,33.929,78.656,0.0,22.322
INST0033_N5_N03_D004,24.705,33.197,116.493,21.127,116.493,116.493,87.893,22.387,78.919,22.322,0.0
