,depot,INST0082_N8_W22_P000,INST0082_N8_W22_D000,INST0082_N8_W22_P001,INST0082_N8_W22_D001,INST0082_N8_W22_P002,INST0082_N8_W22_D002,INST0082_N8_W22_P003,INST0082_N8_W22_D003,INST0082_N8_W22_P004,INST0082_N8_W22_D004,INST0082_N8_W22_P005,INST0082_N8_W22_D005,INST0082_N8_W22_P006,INST0082_N8_W22_D006,INST0082_N8_W22_P007,INST0082_N8_W22_D007
depot,0.0,63.444,16.399,16.35,14.239,16.399,26.872,16.791,16.399,61.821,0.0,43.952,14.239,43.952,26.872,43.952,16.35
INST0082_N8_W22_P000,63.444,0.0,77.525,69.129,70.903,77.525,55.217,50.28,77.525,57.646,63.444,20.342,70.903,20.342,55.217,20.342,69.129
INST0082_N8_W22_D000,16.399,77.525,0.0,11.735,23.199,0.0,30.344,27.544,0.0,64.172,16.399,58.923,23.199,58.923,30.344,58.923,11.735
INST0082_N8_W22_P001,16.35,69.129,11.735,0.0,28.769,11.735,18.744,19.054,11.735,52.507,16.35,51.842,28.769,51.842,18.744,51.842,0.0
INST0082_N8_W22_D001,14.239,70.903,23.199,28.769,0.0,23.199,41.092,29.954,23.199,75.918,14.239,50.611,0.0,50.611,41.092,50.611,28.769
INST0082_N8_W22_P002,16.399,77.525,0.0,11.735,23.199,0.0,30.344,27.544,0.0,64.172,16.399,58.923,23.199,58.923,30.344,58.923,11.735
INST0082_N8_W22_D002,26.872,55.217,30.344,18.744,41.092,30.344,0.0,14.077,30.344,35.155,26.872,41.349,41.092,41.349,0.0,41.349,18.744
INST0082_N8_W22_P003,16.791,50.28,27.544,19.054,29.954,27.544,14.077,0.0,27.544,46.592,16.791,32.833,29.954,32.833,14.077,32.833,19.054
INST0082_N8_W22_D003,16.399,77.525,0.0,11.735,23.199,0.0,30.344,27.544,0.0,64.172,16.399,58.923,23.199,58.923,30.344,58.923,11.735
INST0082_N8_W22_P004,61.821,57.646,64.172,52.507,75.918,64.172,35.155,46.592,64.172,0.0,61.821,55.918,75.918,55.918,35.155,55.918,52.507
INST0082_N8_W22_D004,0.0,63.444,16.399,16.35,14.239,16.399,26.872,16.791,16.399,61.821,0.0,43.952,14.239,43.952,26.872,43.952,16.35
INST0082_N8_W22_P005,43.952,20.342,58.923,51.842,50.611,58.923,41.349,32.833,58.923,55.918,43.952,0.0,50.611,0.0,41.349,0.0,51.842
INST0082_N8_W22_D005,14.239,70.903,23.199,28.769,0.0,23.199,41.092,29.954,23.199,75.918,14.239,50.611,0.0,50.611,41.092,50.611,28.769
INST0082_N8_W22_P006,43.952,20.342,58.923,51.842,50.611,58.923,41.349,32.833,58.923,55.918,43.952,0.0,50.611,0.0,41.349,0.0,51.842
INST0082_N8_W22_D006,26.872,55.217,30.344,18.744,41.092,30.344,0.0,14.077,30.344,35.155,26.872,41.349,41.092,41.349,0.0,41.349,18.744
INST0082_N8_W22_P007,43.952,20.342,58.923,51.842,50.611,58.923,41.349,32.833,58.923,55.918,43.952,0.0,50.611,0.0,41.349,0.0,51.842
INST0082_N8_W22_D007,16.35,69.129,11.735,0.0,28.769,11.735,18.744,19.054,11.735,52.507,16.35,51.842,28.769,51.842,18.744,51.842,0.0
