,depot,INST0226_N20_W16_P000,INST0226_N20_W16_D000,INST0226_N20_W16_P001,INST0226_N20_W16_D001,INST0226_N20_W16_P002,INST0226_N20_W16_D002,INST0226_N20_W16_P003,INST0226_N20_W16_D003,INST0226_N20_W16_P004,INST0226_N20_W16_D004,INST0226_N20_W16_P005,INST0226_N20_W16_D005,INST0226_N20_W16_P006,INST0226_N20_W16_D006,INST0226_N20_W16_P007,INST0226_N20_W16_D007,INST0226_N20_W16_P008,INST0226_N20_W16_D008,INST0226_N20_W16_P009,INST0226_N20_W16_D009,INST0226_N20_W16_P010,INST0226_N20_W16_D010,INST0226_N20_W16_P011,INST0226_N20_W16_D011,INST0226_N20_W16_P012,INST0226_N20_W16_D012,INST0226_N20_W16_P013,INST0226_N20_W16_D013,INST0226_N20_W16_P014,INST0226_N20_W16_D014,INST0226_N20_W16_P015,INST0226_N20_W16_D015,INST0226_N20_W16_P016,INST0226_N20_W16_D016,INST0226_N20_W16_P017,INST0226_N20_W16_D017,INST0226_N20_W16_P018,INST0226_N20_W16_D018,INST0226_N20_W16_P019,INST0226_N20_W16_D019
depot,0.0,17.238,67.612,37.156,67.612,50.631,50.317,37.156,117.595,32.905,37.156,25.201,50.317,0.0,50.317,37.156,67.612,0.0,22.951,50.317,0.0,32.905,37.156,32.905,180.319,50.317,133.769,22.951,0.0,0.0,32.905,17.238,117.595,17.238,117.595,17.238,133.769,67.612,0.0,32.905,0.0
INST0226_N20_W16_P000,17.238,0.0,61.567,33.728,61.567,40.204,36.679,33.728,110.354,20.56,33.728,12.767,36.679,17.238,36.679,33.728,61.567,17.238,23.331,36.679,17.238,20.56,33.728,20.56,163.588,36.679,127.423,23.331,17.238,17.238,20.56,0.0,110.354,0.0,110.354,0.0,127.423,61.567,17.238,20.56,17.238
INST0226_N20_W16_D000,67.612,61.567,0.0,94.929,0.0,24.909,86.82,94.929,50.015,77.687,94.929,49.056,86.82,67.612,86.82,94.929,0.0,67.612,84.648,86.82,67.612,77.687,94.929,77.687,176.253,86.82,66.284,84.648,67.612,67.612,77.687,61.567,50.015,61.567,50.015,61.567,66.284,0.0,67.612,77.687,67.612
INST0226_N20_W16_P001,37.156,33.728,94.929,0.0,94.929,72.151,28.407,0.0,142.787,20.081,0.0,45.89,28.407,37.156,28.407,0.0,94.929,37.156,14.369,28.407,37.156,20.081,0.0,20.081,160.03,28.407,160.194,14.369,37.156,37.156,20.081,33.728,142.787,33.728,142.787,33.728,160.194,94.929,37.156,20.081,37.156
INST0226_N20_W16_D001,67.612,61.567,0.0,94.929,0.0,24.909,86.82,94.929,50.015,77.687,94.929,49.056,86.82,67.612,86.82,94.929,0.0,67.612,84.648,86.82,67.612,77.687,94.929,77.687,176.253,86.82,66.284,84.648,67.612,67.612,77.687,61.567,50.015,61.567,50.015,61.567,66.284,0.0,67.612,77.687,67.612
INST0226_N20_W16_P002,50.631,40.204,24.909,72.151,24.909,0.0,61.972,72.151,70.637,53.818,72.151,27.496,61.972,50.631,61.972,72.151,24.909,50.631,63.48,61.972,50.631,53.818,72.151,53.818,159.2,61.972,88.095,63.48,50.631,50.631,53.818,40.204,70.637,40.204,70.637,40.204,88.095,24.909,50.631,53.818,50.631
INST0226_N20_W16_D002,50.317,36.679,86.82,28.407,86.82,61.972,0.0,28.407,129.907,17.435,28.407,43.098,0.0,50.317,0.0,28.407,86.82,50.317,35.228,0.0,50.317,17.435,28.407,17.435,133.358,0.0,147.866,35.228,50.317,50.317,17.435,36.679,129.907,36.679,129.907,36.679,147.866,86.82,50.317,17.435,50.317
INST0226_N20_W16_P003,37.156,33.728,94.929,0.0,94.929,72.151,28.407,0.0,142.787,20.081,0.0,45.89,28.407,37.156,28.407,0.0,94.929,37.156,14.369,28.407,37.156,20.081,0.0,20.081,160.03,28.407,160.194,14.369,37.156,37.156,20.081,33.728,142.787,33.728,142.787,33.728,160.194,94.929,37.156,20.081,37.156
INST0226_N20_W16_D003,117.595,110.354,50.015,142.787,50.015,70.637,129.907,142.787,0.0,124.166,142.787,97.602,129.907,117.595,129.907,142.787,50.015,117.595,133.671,129.907,117.595,124.166,142.787,124.166,187.182,129.907,18.026,133.671,117.595,117.595,124.166,110.354,0.0,110.354,0.0,110.354,18.026,50.015,117.595,124.166,117.595
INST0226_N20_W16_P004,32.905,20.56,77.687,20.081,77.687,53.818,17.435,20.081,124.166,0.0,20.081,29.878,17.435,32.905,17.435,20.081,77.687,32.905,20.02,17.435,32.905,0.0,20.081,0.0,149.638,17.435,141.804,20.02,32.905,32.905,0.0,20.56,124.166,20.56,124.166,20.56,141.804,77.687,32.905,0.0,32.905
