,depot,INST0134_N12_S14_P000,INST0134_N12_S14_D000,INST0134_N12_S14_P001,INST0134_N12_S14_D001,INST0134_N12_S14_P002,INST0134_N12_S14_D002,INST0134_N12_S14_P003,INST0134_N12_S14_D003,INST0134_N12_S14_P004,INST0134_N12_S14_D004,INST0134_N12_S14_P005,INST0134_N12_S14_D005,INST0134_N12_S14_P006,INST0134_N12_S14_D006,INST0134_N12_S14_P007,INST0134_N12_S14_D007,INST0134_N12_S14_P008,INST0134_N12_S14_D008,INST0134_N12_S14_P009,INST0134_N12_S14_D009,INST0134_N12_S14_P010,INST0134_N12_S14_D010,INST0134_N12_S14_P011,INST0134_N12_S14_D011
depot,0.0,44.339,89.072,65.452,32.298,32.298,54.565,44.339,10.881,54.565,32.298,44.339,89.072,54.565,58.699,54.565,89.072,7.008,44.339,32.298,65.452,25.439,0.0,65.452,0.0
INST0134_N12_S14_P000,44.339,0.0,103.829,54.903,24.954,24.954,67.889,0.0,36.46,67.889,24.954,0.0,103.829,67.889,102.776,67.889,103.829,41.761,0.0,24.954,54.903,19.488,44.339,54.903,44.339
INST0134_N12_S14_D000,89.072,103.829,0.0,150.208,112.576,112.576,36.733,103.829,97.061,36.733,112.576,103.829,0.0,36.733,93.449,36.733,0.0,95.708,103.829,112.576,150.208,91.902,89.072,150.208,89.072
INST0134_N12_S14_P001,65.452,54.903,150.208,0.0,37.715,37.715,113.587,54.903,55.179,113.587,37.715,54.903,150.208,113.587,113.511,113.587,150.208,58.521,54.903,37.715,0.0,59.019,65.452,0.0,65.452
INST0134_N12_S14_D001,32.298,24.954,112.576,37.715,0.0,0.0,75.908,24.954,21.478,75.908,0.0,24.954,112.576,75.908,88.975,75.908,112.576,26.505,24.954,0.0,37.715,21.517,32.298,37.715,32.298
INST0134_N12_S14_P002,32.298,24.954,112.576,37.715,0.0,0.0,75.908,24.954,21.478,75.908,0.0,24.954,112.576,75.908,88.975,75.908,112.576,26.505,24.954,0.0,37.715,21.517,32.298,37.715,32.298
INST0134_N12_S14_D002,54.565,67.889,36.733,113.587,75.908,75.908,0.0,67.889,61.394,0.0,75.908,67.889,36.733,0.0,77.092,0.0,36.733,60.745,67.889,75.908,113.587,55.171,54.565,113.587,54.565
INST0134_N12_S14_P003,44.339,0.0,103.829,54.903,24.954,24.954,67.889,0.0,36.46,67.889,24.954,0.0,103.829,67.889,102.776,67.889,103.829,41.761,0.0,24.954,54.903,19.488,44.339,54.903,44.339
INST0134_N12_S14_D003,10.881,36.46,97.061,55.179,21.478,21.478,61.394,36.46,0.0,61.394,21.478,36.46,97.061,61.394,68.319,61.394,97.061,5.477,36.46,21.478,55.179,19.629,10.881,55.179,10.881
INST0134_N12_S14_P004,54.565,67.889,36.733,113.587,75.908,75.908,0.0,67.889,61.394,0.0,75.908,67.889,36.733,0.0,77.092,0.0,36.733,60.745,67.889,75.908,113.587,55.171,54.565,113.587,54.565
INST0134_N12_S14_D004,32.298,24.954,112.576,37.715,0.0,0.0,75.908,24.954,21.478,75.908,0.0,24.954,112.576,75.908,88.975,75.908,112.576,26.505,24.954,0.0,37.715,21.517,32.298,37.715,32.298
INST0134_N12_S14_P005,44.339,0.0,103.829,54.903,24.954,24.954,67.889,0.0,36.46,67.889,24.954,0.0,103.829,67.889,102.776,67.889,103.829,41.761,0.0,24.954,54.903,19.488,44.339,54.903,44.339
INST0134_N12_S14_D005,89.072,103.829,0.0,150.208,112.576,112.576,36.733,103.829,97.061,36.733,112.576,103.829,0.0,36.733,93.449,36.733,0.0,95.708,103.829,112.576,150.208,91.902,89.072,150.208,89.072
INST0134_N12_S14_P006,54.565,67.889,36.733,113.587,75.908,75.908,0.0,67.889,61.394,0.0,75.908,67.889,36.733,0.0,77.092,0.0,36.733,60.745,67.889,75.908,113.587,55.171,54.565,113.587,54.565
INST0134_N12_S14_D006,58.699,102.776,93.449,113.511,88.975,88.975,77.092,102.776,68.319,77.092,88.975,102.776,93.449,77.092,0.0,77.092,93.449,62.898,102.776,88.975,113.511,83.416,58.699,113.511,58.699
INST0134_N12_S14_P007,54.565,67.889,36.733,113.587,75.908,75.908,0.0,67.889,61.394,0.0,75.908,67.889,36.733,0.0,77.092,0.0,36.733,60.745,67.889,75.908,113.587,55.171,54.565,113.587,54.565
INST0134_N12_S14_D007,89.072,103.829,0.0,150.208,112.576,112.576,36.733,103.829,97.061,36.733,112.576,103.829,0.0,36.733,93.449,36.733,0.0,95.708,103.829,112.576,150.208,91.902,89.072,150.208,89.072
INST0134_N12_S14_P008,7.008,41.761,95.708,58.521,26.505,26.505,60.745,41.761,5.477,60.745,26.505,41.761,95.708,60.745,62.898,60.745,95.708,0.0,41.761,26.505,58.521,24.239,7.008,58.521,7.008
INST0134_N12_S14_D008,44.339,0.0,103.829,54.903,24.954,24.954,67.889,0.0,36.46,67.889,24.954,0.0,103.829,67.889,102.776,67.889,103.829,41.761,0.0,24.954,54.903,19.488,44.339,54.903,44.339
INST0134_N12_S14_P009,32.298,24.954,112.576,37.715,0.0,0.0,75.908,24.954,21.478,75.908,0.0,24.954,112.576,75.908,88.975,75.908,112.576,26.505,24.954,0.0,37.715,21.517,32.298,37.715,32.298
INST0134_N12_S14_D009,65.452,54.903,150.208,0.0,37.715,37.715,113.587,54.903,55.179,113.587,37.715,54.903,150.208,113.587,113.511,113.587,150.208,58.521,54.903,37.715,0.0,59.019,65.452,0.0,65.452
INST0134_N12_S14_P010,25.439,19.488,91.902,59.019,21.517,21.517,55.171,19.488,19.629,55.171,21.517,19.488,91.902,55.171,83.416,55.171,91.902,24.239,19.488,21.517,59.019,0.0,25.439,59.019,25.439
INST0134_N12_S14_D010,0.0,44.339,89.072,65.452,32.298,32.298,54.565,44.339,10.881,54.565,32.298,44.339,89.072,54.565,58.699,54.565,89.072,7.008,44.339,32.298,65.452,25.439,0.0,65.452,0.0
INST0134_N12_S14_P011,65.452,54.903,150.208,0.0,37.715,37.715,113.587,54.903,55.179,113.587,37.715,54.903,150.208,113.587,113.511,113.587,150.208,58.521,54.903,37.715,0.0,59.019,65.452,0.0,65.452
INST0134_N12_S14_D011,0.0,44.339,89.072,65.452,32.298,32.298,54.565,44.339,10.881,54.565,32.298,44.339,89.072,54.565,58.699,54.565,89.072,7.008,44.339,32.298,65.452,25.439,0.0,65.452,0.0
