,depot,INST0071_N8_S11_P000,INST0071_N8_S11_D000,INST0071_N8_S11_P001,INST0071_N8_S11_D001,INST0071_N8_S11_P002,INST0071_N8_S11_D002,INST0071_N8_S11_P003,INST0071_N8_S11_D003,INST0071_N8_S11_P004,INST0071_N8_S11_D004,INST0071_N8_S11_P005,INST0071_N8_S11_D005,INST0071_N8_S11_P006,INST0071_N8_S11_D006,INST0071_N8_S11_P007,INST0071_N8_S11_D007
depot,0.0,39.549,30.556,92.948,108.949,80.067,177.944,92.948,30.556,0.0,108.949,26.348,108.949,46.181,108.949,30.556,32.455
INST0071_N8_S11_P000,39.549,0.0,54.293,66.815,71.877,53.679,150.553,66.815,54.293,39.549,71.877,31.149,71.877,80.145,71.877,54.293,8.581
INST0071_N8_S11_D000,30.556,54.293,0.0,83.129,125.848,72.248,164.482,83.129,0.0,30.556,125.848,23.863,125.848,67.228,125.848,0.0,51.136
INST0071_N8_S11_P001,92.948,66.815,83.129,0.0,94.398,13.307,85.211,0.0,83.129,92.948,94.398,67.557,94.398,139.086,94.398,83.129,74.382
INST0071_N8_S11_D001,108.949,71.877,125.848,94.398,0.0,87.998,151.155,94.398,125.848,108.949,0.0,102.142,0.0,138.993,0.0,125.848,77.018
INST0071_N8_S11_P002,80.067,53.679,72.248,13.307,87.998,0.0,98.41,13.307,72.248,80.067,87.998,55.105,87.998,126.125,87.998,72.248,61.135
INST0071_N8_S11_D002,177.944,150.553,164.482,85.211,151.155,98.41,0.0,85.211,164.482,177.944,151.155,152.108,151.155,224.124,151.155,164.482,158.604
INST0071_N8_S11_P003,92.948,66.815,83.129,0.0,94.398,13.307,85.211,0.0,83.129,92.948,94.398,67.557,94.398,139.086,94.398,83.129,74.382
INST0071_N8_S11_D003,30.556,54.293,0.0,83.129,125.848,72.248,164.482,83.129,0.0,30.556,125.848,23.863,125.848,67.228,125.848,0.0,51.136
INST0071_N8_S11_P004,0.0,39.549,30.556,92.948,108.949,80.067,177.944,92.948,30.556,0.0,108.949,26.348,108.949,46.181,108.949,30.556,32.455
INST0071_N8_S11_D004,108.949,71.877,125.848,94.398,0.0,87.998,151.155,94.398,125.848,108.949,0.0,102.142,0.0,138.993,0.0,125.848,77.018
INST0071_N8_S11_P005,26.348,31.149,23.863,67.557,102.142,55.105,152.108,67.557,23.863,26.348,102.142,0.0,102.142,72.268,102.142,23.863,29.68
INST0071_N8_S11_D005,108.949,71.877,125.848,94.398,0.0,87.998,151.155,94.398,125.848,108.949,0.0,102.142,0.0,138.993,0.0,125.848,77.018
INST0071_N8_S11_P006,46.181,80.145,67.228,139.086,138.993,126.125,224.124,139.086,67.228,46.181,138.993,72.268,138.993,0.0,138.993,67.228,71.658
INST0071_N8_S11_D006,108.949,71.877,125.848,94.398,0.0,87.998,151.155,94.398,125.848,108.949,0.0,102.142,0.0,138.993,0.0,125.848,77.018
INST0071_N8_S11_P007,30.556,54.293,0.0,83.129,125.848,72.248,164.482,83.129,0.0,30.556,125.848,23.863,125.848,67.228,125.848,0.0,51.136
INST0071_N8_S11_D007,32.455,8.581,51.136,74.382,77.018,61.135,158.604,74.382,51.136,32.455,77.018,29.68,77.018,71.658,77.018,51.136,0.0
