,depot,INST0264_N22_N24_P000,INST0264_N22_N24_D000,INST0264_N22_N24_P001,INST0264_N22_N24_D001,INST0264_N22_N24_P002,INST0264_N22_N24_D002,INST0264_N22_N24_P003,INST0264_N22_N24_D003,INST0264_N22_N24_P004,INST0264_N22_N24_D004,INST0264_N22_N24_P005,INST0264_N22_N24_D005,INST0264_N22_N24_P006,INST0264_N22_N24_D006,INST0264_N22_N24_P007,INST0264_N22_N24_D007,INST0264_N22_N24_P008,INST0264_N22_N24_D008,INST0264_N22_N24_P009,INST0264_N22_N24_D009,INST0264_N22_N24_P010,INST0264_N22_N24_D010,INST0264_N22_N24_P011,INST0264_N22_N24_D011,INST0264_N22_N24_P012,INST0264_N22_N24_D012,INST0264_N22_N24_P013,INST0264_N22_N24_D013,INST0264_N22_N24_P014,INST0264_N22_N24_D014,INST0264_N22_N24_P015,INST0264_N22_N24_D015,INST0264_N22_N24_P016,INST0264_N22_N24_D016,INST0264_N22_N24_P017,INST0264_N22_N24_D017,INST0264_N22_N24_P018,INST0264_N22_N24_D018,INST0264_N22_N24_P019,INST0264_N22_N24_D019,INST0264_N22_N24_P020,INST0264_N22_N24_D020,INST0264_N22_N24_P021,INST0264_N22_N24_D021
depot,0.0,0.0,34.294,0.0,81.232,28.616,81.232,28.616,100.108,27.111,28.616,0.0,48.052,46.06,153.371,44.646,122.247,46.06,35.653,44.646,81.232,35.653,48.052,35.653,122.247,46.06,48.052,46.06,81.232,34.294,35.653,46.06,35.653,27.111,0.0,28.616,27.111,46.06,153.371,48.052,46.06,34.294,48.052,44.646,27.111
INST0264_N22_N24_P000,0.0,0.0,34.294,0.0,81.232,28.616,81.232,28.616,100.108,27.111,28.616,0.0,48.052,46.06,153.371,44.646,122.247,46.06,35.653,44.646,81.232,35.653,48.052,35.653,122.247,46.06,48.052,46.06,81.232,34.294,35.653,46.06,35.653,27.111,0.0,28.616,27.111,46.06,153.371,48.052,46.06,34.294,48.052,44.646,27.111
INST0264_N22_N24_D000,34.294,34.294,0.0,34.294,61.784,19.671,61.784,19.671,134.365,7.201,19.671,34.294,21.8,13.759,119.262,11.477,87.958,13.759,18.791,11.477,61.784,18.791,21.8,18.791,87.958,13.759,21.8,13.759,61.784,0.0,18.791,13.759,18.791,7.201,34.294,19.671,7.201,13.759,119.262,21.8,13.759,0.0,21.8,11.477,7.201
INST0264_N22_N24_P001,0.0,0.0,34.294,0.0,81.232,28.616,81.232,28.616,100.108,27.111,28.616,0.0,48.052,46.06,153.371,44.646,122.247,46.06,35.653,44.646,81.232,35.653,48.052,35.653,122.247,46.06,48.052,46.06,81.232,34.294,35.653,46.06,35.653,27.111,0.0,28.616,27.111,46.06,153.371,48.052,46.06,34.294,48.052,44.646,27.111
INST0264_N22_N24_D001,81.232,81.232,61.784,81.232,0.0,81.17,0.0,81.17,165.945,64.45,81.17,81.232,77.99,66.572,104.379,64.236,85.106,66.572,47.339,64.236,0.0,47.339,77.99,47.339,85.106,66.572,77.99,66.572,0.0,61.784,47.339,66.572,47.339,64.45,81.232,81.17,64.45,66.572,104.379,77.99,66.572,61.784,77.99,64.236,64.45
INST0264_N22_N24_P002,28.616,28.616,19.671,28.616,81.17,0.0,81.17,0.0,125.319,17.254,0.0,28.616,20.683,23.353,132.815,23.461,100.436,23.353,35.534,23.461,81.17,35.534,20.683,35.534,100.436,23.353,20.683,23.353,81.17,19.671,35.534,23.353,35.534,17.254,28.616,0.0,17.254,23.353,132.815,20.683,23.353,19.671,20.683,23.461,17.254
INST0264_N22_N24_D002,81.232,81.232,61.784,81.232,0.0,81.17,0.0,81.17,165.945,64.45,81.17,81.232,77.99,66.572,104.379,64.236,85.106,66.572,47.339,64.236,0.0,47.339,77.99,47.339,85.106,66.572,77.99,66.572,0.0,61.784,47.339,66.572,47.339,64.45,81.232,81.17,64.45,66.572,104.379,77.99,66.572,61.784,77.99,64.236,64.45
INST0264_N22_N24_P003,28.616,28.616,19.671,28.616,81.17,0.0,81.17,0.0,125.319,17.254,0.0,28.616,20.683,23.353,132.815,23.461,100.436,23.353,35.534,23.461,81.17,35.534,20.683,35.534,100.436,23.353,20.683,23.353,81.17,19.671,35.534,23.353,35.534,17.254,28.616,0.0,17.254,23.353,132.815,20.683,23.353,19.671,20.683,23.461,17.254
INST0264_N22_N24_D003,100.108,100.108,134.365,100.108,165.945,125.319,165.945,125.319,0.0,127.166,125.319,100.108,145.998,145.919,252.84,144.673,222.229,145.919,131.141,144.673,165.945,131.141,145.998,131.141,222.229,145.919,145.998,145.919,165.945,134.365,131.141,145.919,131.141,127.166,100.108,125.319,127.166,145.919,252.84,145.998,145.919,134.365,145.998,144.673,127.166
INST0264_N22_N24_P004,27.111,27.111,7.201,27.111,64.45,17.254,64.45,17.254,127.166,0.0,17.254,27.111,26.126,20.176,126.352,18.229,95.136,20.176,18.283,18.229,64.45,18.283,26.126,18.283,95.136,20.176,26.126,20.176,64.45,7.201,18.283,20.176,18.283,0.0,27.111,17.254,0.0,20.176,126.352,26.126,20.176,7.201,26.126,18.229,0.0
INST0264_N22_N24_D004,28.616,28.616,19.671,28.616,81.17,0.0,81.17,0.0,125.319,17.254,0.0,28.616,20.683,23.353,132.815,23.461,100.436,23.353,35.534,23.461,81.17,35.534,20.683,35.534,100.436,23.353,20.683,23.353,81.17,19.671,35.534,23.353,35.534,17.254,28.616,0.0,17.254,23.353,132.815,20.683,23.353,19.671,20.683,23.461,17.254
INST0264_N22_N24_P005,0.0,0.0,34.294,0.0,81.232,28.616,81.232,28.616,100.108,27.111,28.616,0.0,48.052,46.06,153.371,44.646,122.247,46.06,35.653,44.646,81.232,35.653,48.052,35.653,122.247,46.06,48.052,46.06,81.232,34.294,35.653,46.06,35.653,27.111,0.0,28.616,27.111,46.06,153.371,48.052,46.06,34.294,48.052,44.646,27.111
INST0264_N22_N24_D005,48.052,48.052,21.8,48.052,77.99,20.683,77.99,20.683,145.998,26.126,20.683,48.052,0.0,11.436,113.909,13.942,81.189,11.436,40.266,13.942,77.99,40.266,0.0,40.266,81.189,11.436,0.0,11.436,77.99,21.8,40.266,11.436,40.266,26.126,48.052,20.683,26.126,11.436,113.909,0.0,11.436,21.8,0.0,13.942,26.126
INST0264_N22_N24_P006,46.06,46.06,13.759,46.06,66.572,23.353,66.572,23.353,145.919,20.176,23.353,46.06,11.436,0.0,109.689,2.788,77.555,0.0,30.471,2.788,66.572,30.471,11.436,30.471,77.555,0.0,11.436,0.0,66.572,13.759,30.471,0.0,30.471,20.176,46.06,23.353,20.176,0.0,109.689,11.436,0.0,13.759,11.436,2.788,20.176
INST0264_N22_N24_D006,153.371,153.371,119.262,153.371,104.379,132.815,104.379,132.815,252.84,126.352,132.815,153.371,113.909,109.689,0.0,110.207,32.884,109.689,122.278,110.207,104.379,122.278,113.909,122.278,32.884,109.689,113.909,109.689,104.379,119.262,122.278,109.689,122.278,126.352,153.371,132.815,126.352,109.689,0.0,113.909,109.689,119.262,113.909,110.207,126.352
INST0264_N22_N24_P007,44.646,44.646,11.477,44.646,64.236,23.461,64.236,23.461,144.673,18.229,23.461,44.646,13.942,2.788,110.207,0.0,78.292,2.788,27.709,0.0,64.236,27.709,13.942,27.709,78.292,2.788,13.942,2.788,64.236,11.477,27.709,2.788,27.709,18.229,44.646,23.461,18.229,2.788,110.207,13.942,2.788,11.477,13.942,0.0,18.229
INST0264_N22_N24_D007,122.247,122.247,87.958,122.247,85.106,100.436,85.106,100.436,222.229,95.136,100.436,122.247,81.189,77.555,32.884,78.292,0.0,77.555,93.214,78.292,85.106,93.214,81.189,93.214,0.0,77.555,81.189,77.555,85.106,87.958,93.214,77.555,93.214,95.136,122.247,100.436,95.136,77.555,32.884,81.189,77.555,87.958,81.189,78.292,95.136
INST0264_N22_N24_P008,46.06,46.06,13.759,46.06,66.572,23.353,66.572,23.353,145.919,20.176,23.353,46.06,11.436,0.0,109.689,2.788,77.555,0.0,30.471,2.788,66.572,30.471,11.436,30.471,77.555,0.0,11.436,0.0,66.572,13.759,30.471,0.0,30.471,20.176,46.06,23.353,20.176,0.0,109.689,11.436,0.0,13.759,11.436,2.788,20.176
INST0264_N22_N24_D008,35.653,35.653,18.791,35.653,47.339,35.534,47.339,35.534,131.141,18.283,35.534,35.653,40.266,30.471,122.278,27.709,93.214,30.471,0.0,27.709,47.339,0.0,40.266,0.0,93.214,30.471,40.266,30.471,47.339,18.791,0.0,30.471,0.0,18.283,35.653,35.534,18.283,30.471,122.278,40.266,30.471,18.791,40.266,27.709,18.283
INST0264_N22_N24_P009,44.646,44.646,11.477,44.646,64.236,23.461,64.236,23.461,144.673,18.229,23.461,44.646,13.942,2.788,110.207,0.0,78.292,2.788,27.709,0.0,64.236,27.709,13.942,27.709,78.292,2.788,13.942,2.788,64.236,11.477,27.709,2.788,27.709,18.229,44.646,23.461,18.229,2.788,110.207,13.942,2.788,11.477,13.942,0.0,18.229
INST0264_N22_N24_D009,81.232,81.232,61.784,81.232,0.0,81.17,0.0,81.17,165.945,64.45,81.17,81.232,77.99,66.572,104.379,64.236,85.106,66.572,47.339,64.236,0.0,47.339,77.99,47.339,85.106,66.572,77.99,66.572,0.0,61.784,47.339,66.572,47.339,64.45,81.232,81.17,64.45,66.572,104.379,77.99,66.572,61.784,77.99,64.236,64.45
INST0264_N22_N24_P010,35.653,35.653,18.791,35.653,47.339,35.534,47.339,35.534,131.141,18.283,35.534,35.653,40.266,30.471,122.278,27.709,93.214,30.471,0.0,27.709,47.339,0.0,40.266,0.0,93.214,30.471,40.266,30.471,47.339,18.791,0.0,30.471,0.0,18.283,35.653,35.534,18.283,30.471,122.278,40.266,30.471,18.791,40.266,27.709,18.283
INST0264_N22_N24_D010,48.052,48.052,21.8,48.052,77.99,20.683,77.99,20.683,145.998,26.126,20.683,48.052,0.0,11.436,113.909,13.942,81.189,11.436,40.266,13.942,77.99,40.266,0.0,40.266,81.189,11.436,0.0,11.436,77.99,21.8,40.266,11.436,40.266,26.126,48.052,20.683,26.126,11.436,113.909,0.0,11.436,21.8,0.0,13.942,26.126
INST0264_N22_N24_P011,35.653,35.653,18.791,35.653,47.339,35.534,47.339,35.534,131.141,18.283,35.534,35.653,40.266,30.471,122.278,27.709,93.214,30.471,0.0,27.709,47.339,0.0,40.266,0.0,93.214,30.471,40.266,30.471,47.339,18.791,0.0,30.471,0.0,18.283,35.653,35.534,18.283,30.471,122.278,40.266,30.471,18.791,40.266,27.709,18.283
INST0264_N22_N24_D011,122.247,122.247,87.958,122.247,85.106,100.436,85.106,100.436,222.229,95.136,100.436,122.247,81.189,77.555,32.884,78.292,0.0,77.555,93.214,78.292,85.106,93.214,81.189,93.214,0.0,77.555,81.189,77.555,85.106,87.958,93.214,77.555,93.214,95.136,122.247,100.436,95.136,77.555,32.884,81.189,77.555,87.958,81.189,78.292,95.136
INST0264_N22_N24_P012,46.06,46.06,13.759,46.06,66.572,23.353,66.572,23.353,145.919,20.176,23.353,46.06,11.436,0.0,109.689,2.788,77.555,0.0,30.471,2.788,66.572,30.471,11.436,30.471,77.555,0.0,11.436,0.0,66.572,13.759,30.471,0.0,30.471,20.176,46.06,23.353,20.176,0.0,109.689,11.436,0.0,13.759,11.436,2.788,20.176
INST0264_N22_N24_D012,48.052,48.052,21.8,48.052,77.99,20.683,77.99,20.683,145.998,26.126,20.683,48.052,0.0,11.436,113.909,13.942,81.189,11.436,40.266,13.942,77.99,40.266,0.0,40.266,81.189,11.436,0.0,11.436,77.99,21.8,40.266,11.436,40.266,26.126,48.052,20.683,26.126,11.436,113.909,0.0,11.436,21.8,0.0,13.942,26.126
INST0264_N22_N24_P013,46.06,46.06,13.759,46.06,66.572,23.353,66.572,23.353,145.919,20.176,23.353,46.06,11.436,0.0,109.689,2.788,77.555,0.0,30.471,2.788,66.572,30.471,11.436,30.471,77.555,0.0,11.436,0.0,66.572,13.759,30.471,0.0,30.471,20.176,46.06,23.353,20.176,0.0,109.689,11.436,0.0,13.759,11.436,2.788,20.176
INST0264_N22_N24_D013,81.232,81.232,61.784,81.232,0.0,81.17,0.0,81.17,165.945,64.45,81.17,81.232,77.99,66.572,104.379,64.236,85.106,66.572,47.339,64.236,0.0,47.339,77.99,47.339,85.106,66.572,77.99,66.572,0.0,61.784,47.339,66.572,47.339,64.45,81.232,81.17,64.45,66.572,104.379,77.99,66.572,61.784,77.99,64.236,64.45
INST0264_N22_N24_P014,34.294,34.294,0.0,34.294,61.784,19.671,61.784,19.671,134.365,7.201,19.671,34.294,21.8,13.759,119.262,11.477,87.958,13.759,18.791,11.477,61.784,18.791,21.8,18.791,87.958,13.759,21.8,13.759,61.784,0.0,18.791,13.759,18.791,7.201,34.294,19.671,7.201,13.759,119.262,21.8,13.759,0.0,21.8,11.477,7.201
INST0264_N22_N24_D014,35.653,35.653,18.791,35.653,47.339,35.534,47.339,35.534,131.141,18.283,35.534,35.653,40.266,30.471,122.278,27.709,93.214,30.471,0.0,27.709,47.339,0.0,40.266,0.0,93.214,30.471,40.266,30.471,47.339,18.791,0.0,30.471,0.0,18.283,35.653,35.534,18.283,30.471,122.278,40.266,30.471,18.791,40.266,27.709,18.283
INST0264_N22_N24_P015,46.06,46.06,13.759,46.06,66.572,23.353,66.572,23.353,145.919,20.176,23.353,46.06,11.436,0.0,109.689,2.788,77.555,0.0,30.471,2.788,66.572,30.471,11.436,30.471,77.555,0.0,11.436,0.0,66.572,13.759,30.471,0.0,30.471,20.176,46.06,23.353,20.176,0.0,109.689,11.436,0.0,13.759,11.436,2.788,20.176
INST0264_N22_N24_D015,35.653,35.653,18.791,35.653,47.339,35.534,47.339,35.534,131.141,18.283,35.534,35.653,40.266,30.471,122.278,27.709,93.214,30.471,0.0,27.709,47.339,0.0,40.266,0.0,93.214,30.471,40.266,30.471,47.339,18.791,0.0,30.471,0.0,18.283,35.653,35.534,18.283,30.471,122.278,40.266,30.471,18.791,40.266,27.709,18.283
INST0264_N22_N24_P016,27.111,27.111,7.201,27.111,64.45,17.254,64.45,17.254,127.166,0.0,17.254,27.111,26.126,20.176,126.352,18.229,95.136,20.176,18.283,18.229,64.45,18.283,26.126,18.283,95.136,20.176,26.126,20.176,64.45,7.201,18.283,20.176,18.283,0.0,27.111,17.254,0.0,20.176,126.352,26.126,20.176,7.201,26.126,18.229,0.0
INST0264_N22_N24_D016,0.0,0.0,34.294,0.0,81.232,28.616,81.232,28.616,100.108,27.111,28.616,0.0,48.052,46.06,153.371,44.646,122.247,46.06,35.653,44.646,81.232,35.653,48.052,35.653,122.247,46.06,48.052,46.06,81.232,34.294,35.653,46.06,35.653,27.111,0.0,28.616,27.111,46.06,153.371,48.052,46.06,34.294,48.052,44.646,27.111
INST0264_N22_N24_P017,28.616,28.616,19.671,28.616,81.17,0.0,81.17,0.0,125.319,17.254,0.0,28.616,20.683,23.353,132.815,23.461,100.436,23.353,35.534,23.461,81.17,35.534,20.683,35.534,100.436,23.353,20.683,23.353,81.17,19.671,35.534,23.353,35.534,17.254,28.616,0.0,17.254,23.353,132.815,20.683,23.353,19.671,20.683,23.461,17.254
INST0264_N22_N24_D017,27.111,27.111,7.201,27.111,64.45,17.254,64.45,17.254,127.166,0.0,17.254,27.111,26.126,20.176,126.352,18.229,95.136,20.176,18.283,18.229,64.45,18.283,26.126,18.283,95.136,20.176,26.126,20.176,64.45,7.201,18.283,20.176,18.283,0.0,27.111,17.254,0.0,20.176,126.352,26.126,20.176,7.201,26.126,18.229,0.0
INST0264_N22_N24_P018,46.06,46.06,13.759,46.06,66.572,23.353,66.572,23.353,145.919,20.176,23.353,46.06,11.436,0.0,109.689,2.788,77.555,0.0,30.471,2.788,66.572,30.471,11.436,30.471,77.555,0.0,11.436,0.0,66.572,13.759,30.471,0.0,30.471,20.176,46.06,23.353,20.176,0.0,109.689,11.436,0.0,13.759,11.436,2.788,20.176
INST0264_N22_N24_D018,153.371,153.371,119.262,153.371,104.379,132.815,104.379,132.815,252.84,126.352,132.815,153.371,113.909,109.689,0.0,110.207,32.884,109.689,122.278,110.207,104.379,122.278,113.909,122.278,32.884,109.689,113.909,109.689,104.379,119.262,122.278,109.689,122.278,126.352,153.371,132.815,126.352,109.689,0.0,113.909,109.689,119.262,113.909,110.207,126.352
INST0264_N22_N24_P019,48.052,48.052,21.8,48.052,77.99,20.683,77.99,20.683,145.998,26.126,20.683,48.052,0.0,11.436,113.909,13.942,81.189,11.436,40.266,13.942,77.99,40.266,0.0,40.266,81.189,11.436,0.0,11.436,77.99,21.8,40.266,11.436,40.266,26.126,48.052,20.683,26.126,11.436,113.909,0.0,11.436,21.8,0.0,13.942,26.126
INST0264_N22_N24_D019,46.06,46.06,13.759,46.06,66.572,23.353,66.572,23.353,145.919,20.176,23.353,46.06,11.436,0.0,109.689,2.788,77.555,0.0,30.471,2.788,66.572,30.471,11.436,30.471,77.555,0.0,11.436,0.0,66.572,13.759,30.471,0.0,30.471,20.176,46.06,23.353,20.176,0.0,109.689,11.436,0.0,13.759,11.436,2.788,20.176
INST0264_N22_N24_P020,34.294,34.294,0.0,34.294,61.784,19.671,61.784,19.671,134.365,7.201,19.671,34.294,21.8,13.759,119.262,11.477,87.958,13.759,18.791,11.477,61.784,18.791,21.8,18.791,87.958,13.759,21.8,13.759,61.784,0.0,18.791,13.759,18.791,7.201,34.294,19.671,7.201,13.759,119.262,21.8,13.759,0.0,21.8,11.477,7.201
INST0264_N22_N24_D020,48.052,48.052,21.8,48.052,77.99,20.683,77.99,20.683,145.998,26.126,20.683,48.052,0.0,11.436,113.909,13.942,81.189,11.436,40.266,13.942,77.99,40.266,0.0,40.266,81.189,11.436,0.0,11.436,77.99,21.8,40.266,11.436,40.266,26.126,48.052,20.683,26.126,11.436,113.909,0.0,11.436,21.8,0.0,13.942,26.126
INST0264_N22_N24_P021,44.646,44.646,11.477,44.646,64.236,23.461,64.236,23.461,144.673,18.229,23.461,44.646,13.942,2.788,110.207,0.0,78.292,2.788,27.709,0.0,64.236,27.709,13.942,27.709,78.292,2.788,13.942,2.788,64.236,11.477,27.709,2.788,27.709,18.229,44.646,23.461,18.229,2.788,110.207,13.942,2.788,11.477,13.942,0.0,18.229
INST0264_N22_N24_D021,27.111,27.111,7.201,27.111,64.45,17.254,64.45,17.254,127.166,0.0,17.254,27.111,26.126,20.176,126.352,18.229,95.136,20.176,18.283,18.229,64.45,18.283,26.126,18.283,95.136,20.176,26.126,20.176,64.45,7.201,18.283,20.176,18.283,0.0,27.111,17.254,0.0,20.176,126.352,26.126,20.176,7.201,26.126,18.229,0.0
