,depot,INST0036_N5_N06_P000,INST0036_N5_N06_D000,INST0036_N5_N06_P001,INST0036_N5_N06_D001,INST0036_N5_N06_P002,INST0036_N5_N06_D002,INST0036_N5_N06_P003,INST0036_N5_N06_D003,INST0036_N5_N06_P004,INST0036_N5_N06_D004
depot,0.0,0.0,122.983,28.727,21.127,25.326,0.0,25.326,24.088,28.727,35.041
INST0036_N5_N06_P000,0.0,0.0,122.983,28.727,21.127,25.326,0.0,25.326,24.088,28.727,35.041
INST0036_N5_N06_D000,122.983,122.983,0.0,95.867,116.493,99.415,122.983,99.415,107.703,95.867,149.69
INST0036_N5_N06_P001,28.727,28.727,95.867,0.0,22.322,17.072,28.727,17.072,14.053,0.0,54.669
INST0036_N5_N06_D001,21.127,21.127,116.493,22.322,0.0,31.992,21.127,31.992,8.817,22.322,33.197
INST0036_N5_N06_P002,25.326,25.326,99.415,17.072,31.992,0.0,25.326,0.0,26.694,17.072,58.839
INST0036_N5_N06_D002,0.0,0.0,122.983,28.727,21.127,25.326,0.0,25.326,24.088,28.727,35.041
INST0036_N5_N06_P003,25.326,25.326,99.415,17.072,31.992,0.0,25.326,0.0,26.694,17.072,58.839
INST0036_N5_N06_D003,24.088,24.088,107.703,14.053,8.817,26.694,24.088,26.694,0.0,14.053,41.993
INST0036_N5_N06_P004,28.727,28.727,95.867,0.0,22.322,17.072,28.727,17.072,14.053,0.0,54.669
INST0036_N5_N06_D004,35.041,35.041,149.69,54.669,33.197,58.839,35.041,58.839,41.993,54.669,0.0
