,depot,INST0231_N20_N21_P000,INST0231_N20_N21_D000,INST0231_N20_N21_P001,INST0231_N20_N21_D001,INST0231_N20_N21_P002,INST0231_N20_N21_D002,INST0231_N20_N21_P003,INST0231_N20_N21_D003,INST0231_N20_N21_P004,INST0231_N20_N21_D004,INST0231_N20_N21_P005,INST0231_N20_N21_D005,INST0231_N20_N21_P006,INST0231_N20_N21_D006,INST0231_N20_N21_P007,INST0231_N20_N21_D007,INST0231_N20_N21_P008,INST0231_N20_N21_D008,INST0231_N20_N21_P009,INST0231_N20_N21_D009,INST0231_N20_N21_P010,INST0231_N20_N21_D010,INST0231_N20_N21_P011,INST0231_N20_N21_D011,INST0231_N20_N21_P012,INST0231_N20_N21_D012,INST0231_N20_N21_P013,INST0231_N20_N21_D013,INST0231_N20_N21_P014,INST0231_N20_N21_D014,INST0231_N20_N21_P015,INST0231_N20_N21_D015,INST0231_N20_N21_P016,INST0231_N20_N21_D016,INST0231_N20_N21_P017,INST0231_N20_N21_D017,INST0231_N20_N21_P018,INST0231_N20_N21_D018,INST0231_N20_N21_P019,INST0231_N20_N21_D019
depot,0.0,20.683,132.815,23.461,0.0,20.683,64.86,23.461,0.0,28.616,81.17,23.461,19.671,64.86,28.616,64.86,23.461,20.683,35.534,19.671,28.616,17.254,20.683,64.86,0.0,19.671,100.436,28.616,113.8,64.86,81.17,35.534,28.616,0.0,28.616,17.254,23.461,20.683,19.671,19.671,20.683
INST0231_N20_N21_P000,20.683,0.0,113.909,13.942,20.683,0.0,46.019,13.942,20.683,48.052,77.99,13.942,21.8,46.019,48.052,46.019,13.942,0.0,40.266,21.8,48.052,26.126,0.0,46.019,20.683,21.8,81.189,48.052,128.231,46.019,77.99,40.266,48.052,20.683,48.052,26.126,13.942,0.0,21.8,21.8,0.0
INST0231_N20_N21_D000,132.815,113.909,0.0,110.207,132.815,113.909,95.428,110.207,132.815,153.371,104.379,110.207,119.262,95.428,153.371,95.428,110.207,113.909,122.278,119.262,153.371,126.352,113.909,95.428,132.815,119.262,32.884,153.371,239.676,95.428,104.379,122.278,153.371,132.815,153.371,126.352,110.207,113.909,119.262,119.262,113.909
INST0231_N20_N21_P001,23.461,13.942,110.207,0.0,23.461,13.942,55.435,0.0,23.461,44.646,64.236,0.0,11.477,55.435,44.646,55.435,0.0,13.942,27.709,11.477,44.646,18.229,13.942,55.435,23.461,11.477,78.292,44.646,136.742,55.435,64.236,27.709,44.646,23.461,44.646,18.229,0.0,13.942,11.477,11.477,13.942
INST0231_N20_N21_D001,0.0,20.683,132.815,23.461,0.0,20.683,64.86,23.461,0.0,28.616,81.17,23.461,19.671,64.86,28.616,64.86,23.461,20.683,35.534,19.671,28.616,17.254,20.683,64.86,0.0,19.671,100.436,28.616,113.8,64.86,81.17,35.534,28.616,0.0,28.616,17.254,23.461,20.683,19.671,19.671,20.683
INST0231_N20_N21_P002,20.683,0.0,113.909,13.942,20.683,0.0,46.019,13.942,20.683,48.052,77.99,13.942,21.8,46.019,48.052,46.019,13.942,0.0,40.266,21.8,48.052,26.126,0.0,46.019,20.683,21.8,81.189,48.052,128.231,46.019,77.99,40.266,48.052,20.683,48.052,26.126,13.942,0.0,21.8,21.8,0.0
INST0231_N20_N21_D002,64.86,46.019,95.428,55.435,64.86,46.019,0.0,55.435,64.86,93.371,107.477,55.435,66.32,0.0,93.371,0.0,55.435,46.019,82.833,66.32,93.371,71.779,46.019,0.0,64.86,66.32,65.084,93.371,149.304,0.0,107.477,82.833,93.371,64.86,93.371,71.779,55.435,46.019,66.32,66.32,46.019
INST0231_N20_N21_P003,23.461,13.942,110.207,0.0,23.461,13.942,55.435,0.0,23.461,44.646,64.236,0.0,11.477,55.435,44.646,55.435,0.0,13.942,27.709,11.477,44.646,18.229,13.942,55.435,23.461,11.477,78.292,44.646,136.742,55.435,64.236,27.709,44.646,23.461,44.646,18.229,0.0,13.942,11.477,11.477,13.942
INST0231_N20_N21_D003,0.0,20.683,132.815,23.461,0.0,20.683,64.86,23.461,0.0,28.616,81.17,23.461,19.671,64.86,28.616,64.86,23.461,20.683,35.534,19.671,28.616,17.254,20.683,64.86,0.0,19.671,100.436,28.616,113.8,64.86,81.17,35.534,28.616,0.0,28.616,17.254,23.461,20.683,19.671,19.671,20.683
INST0231_N20_N21_P004,28.616,48.052,153.371,44.646,28.616,48.052,93.371,44.646,28.616,0.0,81.232,44.646,34.294,93.371,0.0,93.371,44.646,48.052,35.653,34.294,0.0,27.111,48.052,93.371,28.616,34.294,122.247,0.0,110.202,93.371,81.232,35.653,0.0,28.616,0.0,27.111,44.646,48.052,34.294,34.294,48.052
