,depot,INST0190_N18_W10_P000,INST0190_N18_W10_D000,INST0190_N18_W10_P001,INST0190_N18_W10_D001,INST0190_N18_W10_P002,INST0190_N18_W10_D002,INST0190_N18_W10_P003,INST0190_N18_W10_D003,INST0190_N18_W10_P004,INST0190_N18_W10_D004,INST0190_N18_W10_P005,INST0190_N18_W10_D005,INST0190_N18_W10_P006,INST0190_N18_W10_D006,INST0190_N18_W10_P007,INST0190_N18_W10_D007,INST0190_N18_W10_P008,INST0190_N18_W10_D008,INST0190_N18_W10_P009,INST0190_N18_W10_D009,INST0190_N18_W10_P010,INST0190_N18_W10_D010,INST0190_N18_W10_P011,INST0190_N18_W10_D011,INST0190_N18_W10_P012,INST0190_N18_W10_D012,INST0190_N18_W10_P013,INST0190_N18_W10_D013,INST0190_N18_W10_P014,INST0190_N18_W10_D014,INST0190_N18_W10_P015,INST0190_N18_W10_D015,INST0190_N18_W10_P016,INST0190_N18_W10_D016,INST0190_N18_W10_P017,INST0190_N18_W10_D017
depot,0.0,20.02,133.671,23.331,63.48,14.369,23.331,63.48,150.679,0.0,22.951,23.331,0.0,84.648,0.0,20.02,14.369,63.48,0.0,64.294,150.679,0.0,20.02,64.294,35.228,35.228,20.02,36.098,14.369,20.02,14.369,20.02,23.331,35.228,0.0,64.294,22.951
INST0190_N18_W10_P000,20.02,0.0,124.166,20.56,53.818,20.081,20.56,53.818,141.804,20.02,32.905,20.56,20.02,77.687,20.02,0.0,20.081,53.818,20.02,75.699,141.804,20.02,0.0,75.699,17.435,17.435,0.0,29.878,20.081,0.0,20.081,0.0,20.56,17.435,20.02,75.699,32.905
INST0190_N18_W10_D000,133.671,124.166,0.0,110.354,70.637,142.787,110.354,70.637,18.026,133.671,117.595,110.354,133.671,50.015,133.671,124.166,142.787,70.637,133.671,115.643,18.026,133.671,124.166,115.643,129.907,129.907,124.166,97.602,142.787,124.166,142.787,124.166,110.354,129.907,133.671,115.643,117.595
INST0190_N18_W10_P001,23.331,20.56,110.354,0.0,40.204,33.728,0.0,40.204,127.423,23.331,17.238,0.0,23.331,61.567,23.331,20.56,33.728,40.204,23.331,57.051,127.423,23.331,20.56,57.051,36.679,36.679,20.56,12.767,33.728,20.56,33.728,20.56,0.0,36.679,23.331,57.051,17.238
INST0190_N18_W10_D001,63.48,53.818,70.637,40.204,0.0,72.151,40.204,0.0,88.095,63.48,50.631,40.204,63.48,24.909,63.48,53.818,72.151,0.0,63.48,68.471,88.095,63.48,53.818,68.471,61.972,61.972,53.818,27.496,72.151,53.818,72.151,53.818,40.204,61.972,63.48,68.471,50.631
INST0190_N18_W10_P002,14.369,20.081,142.787,33.728,72.151,0.0,33.728,72.151,160.194,14.369,37.156,33.728,14.369,94.929,14.369,20.081,0.0,72.151,14.369,78.578,160.194,14.369,20.081,78.578,28.407,28.407,20.081,45.89,0.0,20.081,0.0,20.081,33.728,28.407,14.369,78.578,37.156
INST0190_N18_W10_D002,23.331,20.56,110.354,0.0,40.204,33.728,0.0,40.204,127.423,23.331,17.238,0.0,23.331,61.567,23.331,20.56,33.728,40.204,23.331,57.051,127.423,23.331,20.56,57.051,36.679,36.679,20.56,12.767,33.728,20.56,33.728,20.56,0.0,36.679,23.331,57.051,17.238
INST0190_N18_W10_P003,63.48,53.818,70.637,40.204,0.0,72.151,40.204,0.0,88.095,63.48,50.631,40.204,63.48,24.909,63.48,53.818,72.151,0.0,63.48,68.471,88.095,63.48,53.818,68.471,61.972,61.972,53.818,27.496,72.151,53.818,72.151,53.818,40.204,61.972,63.48,68.471,50.631
INST0190_N18_W10_D003,150.679,141.804,18.026,127.423,88.095,160.194,127.423,88.095,0.0,150.679,133.769,127.423,150.679,66.284,150.679,141.804,160.194,88.095,150.679,128.123,0.0,150.679,141.804,128.123,147.866,147.866,141.804,114.719,160.194,141.804,160.194,141.804,127.423,147.866,150.679,128.123,133.769
INST0190_N18_W10_P004,0.0,20.02,133.671,23.331,63.48,14.369,23.331,63.48,150.679,0.0,22.951,23.331,0.0,84.648,0.0,20.02,14.369,63.48,0.0,64.294,150.679,0.0,20.02,64.294,35.228,35.228,20.02,36.098,14.369,20.02,14.369,20.02,23.331,35.228,0.0,64.294,22.951
INST0190_N18_W10_D004,22.951,32.905,117.595,17.238,50.631,37.156,17.238,50.631,133.769,22.951,0.0,17.238,22.951,67.612,22.951,32.905,37.156,50.631,22.951,43.046,133.769,22.951,32.905,43.046,50.317,50.317,32.905,25.201,37.156,32.905,37.156,32.905,17.238,50.317,22.951,43.046,0.0
INST0190_N18_W10_P005,23.331,20.56,110.354,0.0,40.204,33.728,0.0,40.204,127.423,23.331,17.238,0.0,23.331,61.567,23.331,20.56,33.728,40.204,23.331,57.051,127.423,23.331,20.56,57.051,36.679,36.679,20.56,12.767,33.728,20.56,33.728,20.56,0.0,36.679,23.331,57.051,17.238
INST0190_N18_W10_D005,0.0,20.02,133.671,23.331,63.48,14.369,23.331,63.48,150.679,0.0,22.951,23.331,0.0,84.648,0.0,20.02,14.369,63.48,0.0,64.294,150.679,0.0,20.02,64.294,35.228,35.228,20.02,36.098,14.369,20.02,14.369,20.02,23.331,35.228,0.0,64.294,22.951
INST0190_N18_W10_P006,84.648,77.687,50.015,61.567,24.909,94.929,61.567,24.909,66.284,84.648,67.612,61.567,84.648,0.0,84.648,77.687,94.929,24.909,84.648,70.587,66.284,84.648,77.687,70.587,86.82,86.82,77.687,49.056,94.929,77.687,94.929,77.687,61.567,86.82,84.648,70.587,67.612
INST0190_N18_W10_D006,0.0,20.02,133.671,23.331,63.48,14.369,23.331,63.48,150.679,0.0,22.951,23.331,0.0,84.648,0.0,20.02,14.369,63.48,0.0,64.294,150.679,0.0,20.02,64.294,35.228,35.228,20.02,36.098,14.369,20.02,14.369,20.02,23.331,35.228,0.0,64.294,22.951
INST0190_N18_W10_P007,20.02,0.0,124.166,20.56,53.818,20.081,20.56,53.818,141.804,20.02,32.905,20.56,20.02,77.687,20.02,0.0,20.081,53.818,20.02,75.699,141.804,20.02,0.0,75.699,17.435,17.435,0.0,29.878,20.081,0.0,20.081,0.0,20.56,17.435,20.02,75.699,32.905
INST0190_N18_W10_D007,14.369,20.081,142.787,33.728,72.151,0.0,33.728,72.151,160.194,14.369,37.156,33.728,14.369,94.929,14.369,20.081,0.0,72.151,14.369,78.578,160.194,14.369,20.081,78.578,28.407,28.407,20.081,45.89,0.0,20.081,0.0,20.081,33.728,28.407,14.369,78.578,37.156
INST0190_N18_W10_P008,63.48,53.818,70.637,40.204,0.0,72.151,40.204,0.0,88.095,63.48,50.631,40.204,63.48,24.909,63.48,53.818,72.151,0.0,63.48,68.471,88.095,63.48,53.818,68.471,61.972,61.972,53.818,27.496,72.151,53.818,72.151,53.818,40.204,61.972,63.48,68.471,50.631
INST0190_N18_W10_D008,0.0,20.02,133.671,23.331,63.48,14.369,23.331,63.48,150.679,0.0,22.951,23.331,0.0,84.648,0.0,20.02,14.369,63.48,0.0,64.294,150.679,0.0,20.02,64.294,35.228,35.228,20.02,36.098,14.369,20.02,14.369,20.02,23.331,35.228,0.0,64.294,22.951
INST0190_N18_W10_P009,64.294,75.699,115.643,57.051,68.471,78.578,57.051,68.471,128.123,64.294,43.046,57.051,64.294,70.587,64.294,75.699,78.578,68.471,64.294,0.0,128.123,64.294,75.699,0.0,92.961,92.961,75.699,56.961,78.578,75.699,78.578,75.699,57.051,92.961,64.294,0.0,43.046
INST0190_N18_W10_D009,150.679,141.804,18.026,127.423,88.095,160.194,127.423,88.095,0.0,150.679,133.769,127.423,150.679,66.284,150.679,141.804,160.194,88.095,150.679,128.123,0.0,150.679,141.804,128.123,147.866,147.866,141.804,114.719,160.194,141.804,160.194,141.804,127.423,147.866,150.679,128.123,133.769
INST0190_N18_W10_P010,0.0,20.02,133.671,23.331,63.48,14.369,23.331,63.48,150.679,0.0,22.951,23.331,0.0,84.648,0.0,20.02,14.369,63.48,0.0,64.294,150.679,0.0,20.02,64.294,35.228,35.228,20.02,36.098,14.369,20.02,14.369,20.02,23.331,35.228,0.0,64.294,22.951
INST0190_N18_W10_D010,20.02,0.0,124.166,20.56,53.818,20.081,20.56,53.818,141.804,20.02,32.905,20.56,20.02,77.687,20.02,0.0,20.081,53.818,20.02,75.699,141.804,20.02,0.0,75.699,17.435,17.435,0.0,29.878,20.081,0.0,20.081,0.0,20.56,17.435,20.02,75.699,32.905
INST0190_N18_W10_P011,64.294,75.699,115.643,57.051,68.471,78.578,57.051,68.471,128.123,64.294,43.046,57.051,64.294,70.587,64.294,75.699,78.578,68.471,64.294,0.0,128.123,64.294,75.699,0.0,92.961,92.961,75.699,56.961,78.578,75.699,78.578,75.699,57.051,92.961,64.294,0.0,43.046
INST0190_N18_W10_D011,35.228,17.435,129.907,36.679,61.972,28.407,36.679,61.972,147.866,35.228,50.317,36.679,35.228,86.82,35.228,17.435,28.407,61.972,35.228,92.961,147.866,35.228,17.435,92.961,0.0,0.0,17.435,43.098,28.407,17.435,28.407,17.435,36.679,0.0,35.228,92.961,50.317
INST0190_N18_W10_P012,35.228,17.435,129.907,36.679,61.972,28.407,36.679,61.972,147.866,35.228,50.317,36.679,35.228,86.82,35.228,17.435,28.407,61.972,35.228,92.961,147.866,35.228,17.435,92.961,0.0,0.0,17.435,43.098,28.407,17.435,28.407,17.435,36.679,0.0,35.228,92.961,50.317
INST0190_N18_W10_D012,20.02,0.0,124.166,20.56,53.818,20.081,20.56,53.818,141.804,20.02,32.905,20.56,20.02,77.687,20.02,0.0,20.081,53.818,20.02,75.699,141.804,20.02,0.0,75.699,17.435,17.435,0.0,29.878,20.081,0.0,20.081,0.0,20.56,17.435,20.02,75.699,32.905
INST0190_N18_W10_P013,36.098,29.878,97.602,12.767,27.496,45.89,12.767,27.496,114.719,36.098,25.201,12.767,36.098,49.056,36.098,29.878,45.89,27.496,36.098,56.961,114.719,36.098,29.878,56.961,43.098,43.098,29.878,0.0,45.89,29.878,45.89,29.878,12.767,43.098,36.098,56.961,25.201
INST0190_N18_W10_D013,14.369,20.081,142.787,33.728,72.151,0.0,33.728,72.151,160.194,14.369,37.156,33.728,14.369,94.929,14.369,20.081,0.0,72.151,14.369,78.578,160.194,14.369,20.081,78.578,28.407,28.407,20.081,45.89,0.0,20.081,0.0,20.081,33.728,28.407,14.369,78.578,37.156
INST0190_N18_W10_P014,20.02,0.0,124.166,20.56,53.818,20.081,20.56,53.818,141.804,20.02,32.905,20.56,20.02,77.687,20.02,0.0,20.081,53.818,20.02,75.699,141.804,20.02,0.0,75.699,17.435,17.435,0.0,29.878,20.081,0.0,20.081,0.0,20.56,17.435,20.02,75.699,32.905
INST0190_N18_W10_D014,14.369,20.081,142.787,33.728,72.151,0.0,33.728,72.151,160.194,14.369,37.156,33.728,14.369,94.929,14.369,20.081,0.0,72.151,14.369,78.578,160.194,14.369,20.081,78.578,28.407,28.407,20.081,45.89,0.0,20.081,0.0,20.081,33.728,28.407,14.369,78.578,37.156
INST0190_N18_W10_P015,20.02,0.0,124.166,20.56,53.818,20.081,20.56,53.818,141.804,20.02,32.905,20.56,20.02,77.687,20.02,0.0,20.081,53.818,20.02,75.699,141.804,20.02,0.0,75.699,17.435,17.435,0.0,29.878,20.081,0.0,20.081,0.0,20.56,17.435,20.02,75.699,32.905
INST0190_N18_W10_D015,23.331,20.56,110.354,0.0,40.204,33.728,0.0,40.204,127.423,23.331,17.238,0.0,23.331,61.567,23.331,20.56,33.728,40.204,23.331,57.051,127.423,23.331,20.56,57.051,36.679,36.679,20.56,12.767,33.728,20.56,33.728,20.56,0.0,36.679,23.331,57.051,17.238
INST0190_N18_W10_P016,35.228,17.435,129.907,36.679,61.972,28.407,36.679,61.972,147.866,35.228,50.317,36.679,35.228,86.82,35.228,17.435,28.407,61.972,35.228,92.961,147.866,35.228,17.435,92.961,0.0,0.0,17.435,43.098,28.407,17.435,28.407,17.435,36.679,0.0,35.228,92.961,50.317
INST0190_N18_W10_D016,0.0,20.02,133.671,23.331,63.48,14.369,23.331,63.48,150.679,0.0,22.951,23.331,0.0,84.648,0.0,20.02,14.369,63.48,0.0,64.294,150.679,0.0,20.02,64.294,35.228,35.228,20.02,36.098,14.369,20.02,14.369,20.02,23.331,35.228,0.0,64.294,22.951
INST0190_N18_W10_P017,64.294,75.699,115.643,57.051,68.471,78.578,57.051,68.471,128.123,64.294,43.046,57.051,64.294,70.587,64.294,75.699,78.578,68.471,64.294,0.0,128.123,64.294,75.699,0.0,92.961,92.961,75.699,56.961,78.578,75.699,78.578,75.699,57.051,92.961,64.294,0.0,43.046
INST0190_N18_W10_D017,22.951,32.905,117.595,17.238,50.631,37.156,17.238,50.631,133.769,22.951,0.0,17.238,22.951,67.612,22.951,32.905,37.156,50.631,22.951,43.046,133.769,22.951,32.905,43.046,50.317,50.317,32.905,25.201,37.156,32.905,37.156,32.905,17.238,50.317,22.951,43.046,0.0
