,depot,INST0059_N5_S29_P000,INST0059_N5_S29_D000,INST0059_N5_S29_P001,INST0059_N5_S29_D001,INST0059_N5_S29_P002,INST0059_N5_S29_D002,INST0059_N5_S29_P003,INST0059_N5_S29_D003,INST0059_N5_S29_P004,INST0059_N5_S29_D004
depot,0.0,71.877,150.553,39.549,71.877,54.293,8.581,80.145,13.324,53.679,31.149
INST0059_N5_S29_P000,71.877,0.0,151.155,108.949,0.0,125.848,77.018,138.993,83.656,87.998,102.142
INST0059_N5_S29_D000,150.553,151.155,0.0,177.944,151.155,164.482,158.604,224.124,160.028,98.41,152.108
INST0059_N5_S29_P001,39.549,108.949,177.944,0.0,108.949,30.556,32.455,46.181,26.3,80.067,26.348
INST0059_N5_S29_D001,71.877,0.0,151.155,108.949,0.0,125.848,77.018,138.993,83.656,87.998,102.142
INST0059_N5_S29_P002,54.293,125.848,164.482,30.556,125.848,0.0,51.136,67.228,44.645,72.248,23.863
INST0059_N5_S29_D002,8.581,77.018,158.604,32.455,77.018,51.136,0.0,71.658,6.707,61.135,29.68
INST0059_N5_S29_P003,80.145,138.993,224.124,46.181,138.993,67.228,71.658,0.0,67.566,126.125,72.268
INST0059_N5_S29_D003,13.324,83.656,160.028,26.3,83.656,44.645,6.707,67.566,0.0,61.869,24.036
INST0059_N5_S29_P004,53.679,87.998,98.41,80.067,87.998,72.248,61.135,126.125,61.869,0.0,55.105
INST0059_N5_S29_D004,31.149,102.142,152.108,26.348,102.142,23.863,29.68,72.268,24.036,55.105,0.0
