,depot,INST0174_N15_N24_P000,INST0174_N15_N24_D000,INST0174_N15_N24_P001,INST0174_N15_N24_D001,INST0174_N15_N24_P002,INST0174_N15_N24_D002,INST0174_N15_N24_P003,INST0174_N15_N24_D003,INST0174_N15_N24_P004,INST0174_N15_N24_D004,INST0174_N15_N24_P005,INST0174_N15_N24_D005,INST0174_N15_N24_P006,INST0174_N15_N24_D006,INST0174_N15_N24_P007,INST0174_N15_N24_D007,INST0174_N15_N24_P008,INST0174_N15_N24_D008,INST0174_N15_N24_P009,INST0174_N15_N24_D009,INST0174_N15_N24_P010,INST0174_N15_N24_D010,INST0174_N15_N24_P011,INST0174_N15_N24_D011,INST0174_N15_N24_P012,INST0174_N15_N24_D012,INST0174_N15_N24_P013,INST0174_N15_N24_D013,INST0174_N15_N24_P014,INST0174_N15_N24_D014
depot,0.0,33.197,149.69,41.993,149.69,35.041,54.669,54.669,99.467,0.0,41.993,41.993,114.332,35.041,56.4,41.993,56.4,35.041,58.839,58.839,33.197,33.197,187.802,43.657,56.4,56.4,0.0,33.197,122.582,33.197,99.467
INST0174_N15_N24_P000,33.197,0.0,116.493,8.817,116.493,21.127,22.322,22.322,78.919,33.197,8.817,8.817,87.893,21.127,24.705,8.817,24.705,21.127,31.992,31.992,0.0,0.0,154.717,22.387,24.705,24.705,33.197,0.0,155.714,0.0,78.919
INST0174_N15_N24_D000,149.69,116.493,0.0,107.703,0.0,122.983,95.867,95.867,104.211,149.69,107.703,107.703,79.694,122.983,94.965,107.703,94.965,122.983,99.415,99.415,116.493,116.493,40.266,114.14,94.965,94.965,149.69,116.493,272.117,116.493,104.211
INST0174_N15_N24_P001,41.993,8.817,107.703,0.0,107.703,24.088,14.053,14.053,75.654,41.993,0.0,0.0,81.208,24.088,16.848,0.0,16.848,24.088,26.694,26.694,8.817,8.817,146.035,23.01,16.848,16.848,41.993,8.817,164.529,8.817,75.654
INST0174_N15_N24_D001,149.69,116.493,0.0,107.703,0.0,122.983,95.867,95.867,104.211,149.69,107.703,107.703,79.694,122.983,94.965,107.703,94.965,122.983,99.415,99.415,116.493,116.493,40.266,114.14,94.965,94.965,149.69,116.493,272.117,116.493,104.211
INST0174_N15_N24_P002,35.041,21.127,122.983,24.088,122.983,0.0,28.727,28.727,99.392,35.041,24.088,24.088,79.42,0.0,28.595,24.088,28.595,0.0,25.326,25.326,21.127,21.127,162.63,43.511,28.595,28.595,35.041,21.127,153.452,21.127,99.392
INST0174_N15_N24_D002,54.669,22.322,95.867,14.053,95.867,28.727,0.0,0.0,78.656,54.669,14.053,14.053,67.88,28.727,3.413,14.053,3.413,28.727,17.072,17.072,22.322,22.322,134.948,33.929,3.413,3.413,54.669,22.322,177.15,22.322,78.656
INST0174_N15_N24_P003,54.669,22.322,95.867,14.053,95.867,28.727,0.0,0.0,78.656,54.669,14.053,14.053,67.88,28.727,3.413,14.053,3.413,28.727,17.072,17.072,22.322,22.322,134.948,33.929,3.413,3.413,54.669,22.322,177.15,22.322,78.656
INST0174_N15_N24_D003,99.467,78.919,104.211,75.654,104.211,99.392,78.656,78.656,0.0,99.467,75.654,75.654,131.605,99.392,81.517,75.654,81.517,99.392,95.498,95.498,78.919,78.919,127.812,57.966,81.517,81.517,99.467,78.919,203.198,78.919,0.0
INST0174_N15_N24_P004,0.0,33.197,149.69,41.993,149.69,35.041,54.669,54.669,99.467,0.0,41.993,41.993,114.332,35.041,56.4,41.993,56.4,35.041,58.839,58.839,33.197,33.197,187.802,43.657,56.4,56.4,0.0,33.197,122.582,33.197,99.467
